T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        5.14562         -8.06418e+06    2184.56         682.425         1               1.10488         146.534         1e-06           1.51524e-05     0.0144448       
400        3.85921         -7.98932e+06    2399.08         805.106         1               1.0875          167.867         1e-06           1.96026e-05     0.0217658       
500        3.08737         -7.90459e+06    2587.83         884.19          1               1.07906         186.951         1e-06           2.40228e-05     0.0291681       
600        2.57281         -7.81336e+06    2754.02         936.845         1               1.07428         204.341         1e-06           2.84237e-05     0.0365351       
700        2.20527         -7.7178e+06     2901.25         971.884         1               1.07141         220.419         1e-06           3.28044e-05     0.0437696       
800        1.92961         -7.61936e+06    3032.67         995.589         1               1.0696          235.437         1e-06           3.7159e-05      0.050844        
900        1.71521         -7.51888e+06    3150.99         1013.33         1               1.0683          249.567         1e-06           4.14794e-05     0.0578186       
1000       1.54367         -7.41671e+06    3258.62         1030.46         1.00001         1.06711         262.922         1e-06           4.57577e-05     0.0646295       
1100       1.40323         -7.31335e+06    3359.41         1041.24         1.00005         1.06661         275.694         1e-06           4.99826e-05     0.0720314       
1200       1.28568         -7.20801e+06    3451.05         1070.31         1.00036         1.06606         287.903         1e-06           5.41552e-05     0.0820513       
1300       1.18412         -7.09736e+06    3539.58         1159.65         1.0018          1.06627         299.808         1e-06           5.82918e-05     0.103188        
1400       1.0904          -6.97024e+06    3633.66         1429.13         1.00718         1.07013         312.156         1e-06           6.2461e-05      0.159111        
1500       0.991925        -6.79675e+06    3753.07         2151.72         1.02371         1.08638         327.086         1e-06           6.68504e-05     0.304239        
1600       0.86948         -6.50588e+06    3940.19         3915.61         1.0666          1.1329          349.514         1e-06           7.18523e-05     0.636795        
1700       0.703621        -5.93981e+06    4282.16         7911.58         1.15771         1.23492         389.359         1e-06           7.80436e-05     1.26186         
1800       0.506296        -4.82112e+06    4919.71         14606.8         1.27409         1.37147         461.096         1e-06           8.5449e-05      1.91616         
1900       0.355497        -3.25824e+06    5764.79         14253.9         1.2316          1.34465         554.182         1e-06           9.18269e-05     1.48977         
2000       0.286784        -2.17515e+06    6321.69         8377.34         1.12426         1.24658         621.8           1e-06           9.58437e-05     0.887883        
2100       0.245186        -1.32695e+06    6735.3          9396.77         1.13408         1.26565         674.665         1e-06           9.88662e-05     1.04563         
2200       0.207073        -268108         7227.5          11351.5         1.1607          1.30492         736.834         1e-06           0.000101436     1.21946         
2300       0.176991        815491          7709.45         9774.6          1.13513         1.29129         801.706         1e-06           0.000103827     1.01619         
2400       0.157149        1.64779e+06     8064.1          7000.28         1.09128         1.25819         856.543         2.5867e-06      0.00010632      0.750869        
2500       0.143576        2.27142e+06     8318.84         5799.36         1.06717         1.23826         898.978         7.08052e-06     0.000108975     0.660367        
2600       0.13245         2.86673e+06     8552.26         6345.67         1.06656         1.23315         934.307         1.7051e-05      0.000111727     0.748294        
