T(K)      0.0e+00        1.0e-04        5.0e-04        1.0e-03        2.5e-03        5.0e-03        1.0e-02        5.0e-02        1.0e-01        
300       2.96546e-216   2.96546e-216   2.96546e-216   2.96546e-216   2.96546e-216   2.96546e-216   2.96546e-216   2.96546e-216   2.96546e-216   
4700      150791         3654.91        1928.07        1476.97        1050.52        826.541        667.062        454.386        403.87         
4800      212468         5230.76        2783.13        2144.92        1540.93        1223.01        996.36         694.096        622.313        
4900      295076         7395.96        3971.83        3080.84        2236.63        1791.32        1473.55        1049.69        948.995        
5000      404316         10341.3        5608.11        4379.23        3213.32        2597.21        2157.3         1570.1         1430.49        
5100      547059         14314.2        7842.6         6166.14        4573.49        3730.85        3128.89        2324.21        2132.76        
5200      731496         19632          10871          8606.25        6452.55        5312.47        4497.31        3405.35        3145.5         
5300      967295         26699.1        14945.2        11912.9        9027.86        7500.6         6406.82        4938.2         4588.94        
5400      1.26577e+06    36037.2        20395.8        16368.2        12537.8        10509.9        9053.99        7095.01        6629.86        
5500      1.64003e+06    48290.2        27626.5        22316.9        17273.7        14601.8        12677.3        10084.4        9470.19        
5600      2.10516e+06    64284.4        37162.7        30213.1        23623.7        20126.1        17598          14191.5        13386.9        
5700      2.67848e+06    85124.9        49735.2        40702          32150.2        27597.1        24295.4        19851.1        18805.5        
5800      3.37946e+06    111986         66053.5        54390.7        43355.9        37457.5        33169.3        27409.9        26060.8        
5900      4.23028e+06    146504         87184.4        72221.2        58051.3        50443.8        44905.1        37488.8        35759.1        
6000      5.25593e+06    190680         114436         95346.4        77224.9        67455.1        60340.3        50847.8        48642.1        
6100      6.48433e+06    246836         149293         125058         101967         89474.9        80384.7        68303.2        65503.1        
6200      7.94692e+06    317926         193709         163066         133741         117842         106288         90991.9        87450.8        
6300      9.67889e+06    407498         250032         211415         174302         154164         139550         120277         115814         
6400      1.17193e+07    519590         320873         272347         225545         200161         181766         157589         151982         
6500      1.4113e+07     660096         410426         349606         290814         258975         235927         205718         198693         
6600      1.69074e+07    833539         521198         445159         371605         331861         303118         265507         256727         
6700      2.01572e+07    1.04753e+06    658411         563601         471964         422586         386904         340226         329280         
6800      2.39227e+07    1.31075e+06    827947         710074         596392         535326         491230         433471         419853         
6900      2.82688e+07    1.63207e+06    1.03539e+06    889309         748873         673690         619434         548161         531252         
7000      3.32679e+07    2.02367e+06    1.28911e+06    1.10867e+06    935902         843736         777257         689546         668588         
7100      3.8996e+07     2.49736e+06    1.59651e+06    1.37445e+06    1.16275e+06    1.05023e+06    969104         861454         835525         
7200      4.554e+07      3.07238e+06    1.97178e+06    1.69952e+06    1.44113e+06    1.3043e+06     1.20568e+06    1.07391e+06    1.04187e+06    
7300      5.29817e+07    3.75997e+06    2.42041e+06    2.08788e+06    1.77368e+06    1.60793e+06    1.48847e+06    1.32763e+06    1.28812e+06    
7400      6.14141e+07    4.58047e+06    2.95623e+06    2.55167e+06    2.17101e+06    1.97093e+06    1.82674e+06    1.63099e+06    1.58236e+06    
7500      7.09362e+07    5.55828e+06    3.59629e+06    3.10604e+06    2.64651e+06    2.40581e+06    2.23235e+06    1.99483e+06    1.93507e+06    
7600      8.16445e+07    6.71465e+06    4.35359e+06    3.76183e+06    3.20905e+06    2.92044e+06    2.71244e+06    2.42512e+06    2.35182e+06    
7700      9.36537e+07    8.08882e+06    5.25823e+06    4.54676e+06    3.88409e+06    3.53916e+06    3.2905e+06     2.94397e+06    2.85414e+06    
7800      1.07049e+08    9.69145e+06    6.31063e+06    5.45861e+06    4.66693e+06    4.25597e+06    3.95962e+06    3.54309e+06    3.43333e+06    
7900      1.2195e+08     1.15678e+07    7.54491e+06    6.52859e+06    5.58602e+06    5.09789e+06    4.74575e+06    4.24668e+06    4.11281e+06    
8000      1.3846e+08     1.37513e+07    8.98208e+06    7.77452e+06    6.65609e+06    6.07806e+06    5.66085e+06    5.06484e+06    4.90192e+06    
8100      1.56685e+08    1.62797e+07    1.06466e+07    9.21737e+06    7.89477e+06    7.21231e+06    6.71938e+06    6.00969e+06    5.81168e+06    
