T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        4.19914         -7.5371e+06     2503.66         704.907         1               1.1269          163.819         1e-06           1.59964e-05     0.0164881       
400        3.14935         -7.4604e+06     2723.53         820.15          1               1.10716         187.497         1e-06           2.07611e-05     0.0241135       
500        2.51948         -7.37439e+06    2915.15         895.027         1               1.09732         208.695         1e-06           2.54523e-05     0.0317785       
600        2.09957         -7.2822e+06     3083.09         945.528         1               1.09165         228.022         1e-06           3.00638e-05     0.0393865       
700        1.79963         -7.18582e+06    3231.59         979.782         1               1.08816         245.898         1e-06           3.45894e-05     0.0468509       
800        1.57468         -7.08659e+06    3364.06         1003.53         1               1.0859          262.602         1e-06           3.90253e-05     0.0541416       
900        1.39971         -6.9853e+06     3483.34         1021.67         1               1.08425         278.32          1e-06           4.33694e-05     0.0613024       
1000       1.25973         -6.88228e+06    3591.87         1039.16         1               1.08274         293.172         1e-06           4.76212e-05     0.06826         
1100       1.14513         -6.77798e+06    3693.41         1051.19         1.00005         1.08199         307.379         1e-06           5.1778e-05      0.0759025       
1200       1.04925         -6.67153e+06    3786.01         1083.1          1.00033         1.08094         320.914         1e-06           5.58476e-05     0.0866479       
1300       0.966565        -6.55921e+06    3875.86         1182.01         1.00164         1.07992         333.983         1e-06           5.98501e-05     0.110586        
1400       0.890741        -6.42866e+06    3972.48         1480.35         1.00654         1.08126         347.275         1e-06           6.38488e-05     0.175678        
1500       0.812224        -6.24692e+06    4097.56         2275.32         1.02154         1.09359         363.045         1e-06           6.80047e-05     0.345236        
1600       0.716614        -5.93728e+06    4296.74         4177.98         1.06006         1.13394         386.356         1e-06           7.26407e-05     0.726625        
1700       0.589512        -5.33834e+06    4658.6          8265.3          1.13948         1.22267         426.633         1e-06           7.81926e-05     1.40076         
1800       0.440213        -4.21014e+06    5301.8          14171.6         1.23169         1.33202         495.648         1e-06           8.45768e-05     1.96623         
1900       0.326342        -2.77275e+06    6079.38         12515.3         1.18531         1.29905         579.511         1e-06           9.00564e-05     1.39241         
2000       0.271448        -1.81424e+06    6572.11         7741.15         1.10646         1.23047         640.066         1e-06           9.37777e-05     0.88039         
2100       0.234487        -999452         6969.34         9161.51         1.12392         1.25654         690.497         1e-06           9.67452e-05     1.08428         
2200       0.200039        17850           7442.3          10706.4         1.14546         1.2901          750.35          1e-06           9.93568e-05     1.22137         
2300       0.173052        1.02262e+06     7889.24         8940.88         1.11934         1.27602         811.631         1e-06           0.000101838     0.986377        
2400       0.155047        1.78262e+06     8213.08         6421.95         1.08055         1.24851         863.258         2.66468e-06     0.000104399     0.730734        
2500       0.14238         2.36251e+06     8449.93         5481.65         1.0609          1.23241         903.265         7.22104e-06     0.000107083     0.659934        
2600       0.13172         2.93289e+06     8673.55         6137.37         1.06255         1.22902         937.087         1.7281e-05      0.000109844     0.763495        
2700       0.121462        3.6127e+06      8929.96         7444.94         1.07579         1.24103         974.558         3.86534e-05     0.000112654     0.929213        
2800       0.111652        4.3922e+06      9213.39         7901.83         1.08261         1.2543          1018.66         8.91614e-05     0.000115517     0.984306        
2900       0.103159        5.14552e+06     9477.84         6990.54         1.07445         1.25845         1065.54         0.000222234     0.000118405     0.883661        
3000       0.0963451       5.77435e+06     9691.16         5587.56         1.05971         1.26117         1111.42         0.000558289     0.000121276     0.732954        
3100       0.0909161       6.27218e+06     9854.5          4435.83         1.04687         1.26933         1154.84         0.00133429      0.000124098     0.61207         
3200       0.0864422       6.67455e+06     9982.31         3667.79         1.03795         1.28205         1195.37         0.00298955      0.000126862     0.499374        
3300       0.0826144       7.01455e+06     10087           3164.48         1.03194         1.2967          1233.29         0.00629084      0.000129581     0.451761        
3400       0.0792523       7.31206e+06     10175.8         2801.59         1.02751         1.31239         1269.5          0.0125002       0.000132261     0.416326        
3500       0.0762543       7.57709e+06     10252.7         2506.94         1.0238          1.32951         1304.99         0.0236024       0.000134916     0.387156        
3600       0.0735577       7.8147e+06      10319.6         2250.64         1.02042         1.3486          1340.41         0.0426363       0.000137555     0.361975        
3700       0.0711172       8.02826e+06     10378.1         2025.7          1.01729         1.36968         1375.94         0.0742032       0.00014019      0.340259        
3800       0.0688957       8.22093e+06     10429.5         1833.49         1.01443         1.39209         1411.32         0.125252        0.000142824     0.322516        
3900       0.0668606       8.39611e+06     10475           1675.79         1.01192         1.4145          1445.92         0.206185        0.000145459     0.309097        
4000       0.064984        8.55723e+06     10515.8         1552.13         1.00978         1.43521         1478.91         0.332269        0.000148095     0.300027        
