T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        4.67238         -7.82734e+06    2329.89         692.528         1               1.11485         154.468         1e-06           1.55591e-05     0.0154042       
400        3.50428         -7.75165e+06    2546.82         811.866         1               1.09634         176.878         1e-06           2.01634e-05     0.0228726       
500        2.80343         -7.66634e+06    2736.86         889.06          1               1.08724         196.933         1e-06           2.47191e-05     0.0304046       
600        2.33619         -7.57468e+06    2903.83         940.747         1               1.08206         215.214         1e-06           2.92282e-05     0.0378923       
700        2.00245         -7.47875e+06    3051.63         975.433         1               1.07891         232.12          1e-06           3.36863e-05     0.0452427       
800        1.75214         -7.37995e+06    3183.52         999.159         1               1.07689         247.914         1e-06           3.80881e-05     0.0524265       
900        1.55746         -7.27911e+06    3302.27         1017.08         1               1.07544         262.775         1e-06           4.24278e-05     0.0594961       
1000       1.4017          -7.17656e+06    3410.31         1034.37         1.00001         1.07411         276.819         1e-06           4.67009e-05     0.0663826       
1100       1.27418         -7.07278e+06    3511.44         1045.72         1.00005         1.07351         290.252         1e-06           5.08999e-05     0.0739002       
1200       1.16747         -6.96694e+06    3603.52         1076.11         1.00034         1.07274         303.074         1e-06           5.50292e-05     0.0842498       
1300       1.07535         -6.85552e+06    3692.65         1169.93         1.00173         1.07242         315.525         1e-06           5.91069e-05     0.106638        
1400       0.990601        -6.72681e+06    3787.9          1452.93         1.00688         1.07521         328.329         1e-06           6.31991e-05     0.166648        
1500       0.902164        -6.54948e+06    3909.96         2209.62         1.02267         1.08972         343.674         1e-06           6.74808e-05     0.322695        
1600       0.793269        -6.24976e+06    4102.76         4040            1.06348         1.13339         366.536         1e-06           7.23104e-05     0.677318        
1700       0.647008        -5.66783e+06    4454.32         8086.94         1.149           1.22911         406.613         1e-06           7.81942e-05     1.32574         
1800       0.473892        -4.54268e+06    5095.67         14434.2         1.25381         1.35263         477.127         1e-06           8.50972e-05     1.94254         
1900       0.341531        -3.03595e+06    5910.55         13449.1         1.20932         1.32263         565.891         1e-06           9.10275e-05     1.44588         
2000       0.279617        -2.01145e+06    6437.28         8073.83         1.1157          1.23876         630.142         1e-06           9.48994e-05     0.883228        
2100       0.24023         -1.1789e+06     6843.21         9293.43         1.1294          1.26144         681.86          1e-06           9.78957e-05     1.06289         
2200       0.203819        -138239         7327            11065.9         1.15376         1.29814         742.987         1e-06           0.000100485     1.221           
2300       0.175172        909973          7793.23         9396.65         1.12788         1.28423         806.226         1e-06           0.00010292      1.0031          
2400       0.156183        1.70932e+06     8133.84         6735.53         1.08634         1.25368         859.595         2.62166e-06     0.000105446     0.741739        
2500       0.143028        2.3129e+06      8380.38         5653.72         1.06429         1.23555         900.928         7.14375e-06     0.000108116     0.659935        
2600       0.132116        2.89683e+06     8609.32         6251.4          1.06473         1.23125         935.569         1.71546e-05     0.000110873     0.754855        
2700       0.121679        3.5892e+06      8870.46         7598.7          1.07803         1.24316         973.511         3.83481e-05     0.000113683     0.920127        
2800       0.111677        4.38886e+06     9161.22         8149.83         1.08571         1.25706         1018.21         8.79207e-05     0.000116539     0.984118        
2900       0.10299         5.16932e+06     9435.18         7269.25         1.07786         1.2612          1065.89         0.000217979     0.000119429     0.890695        
3000       0.096027        5.8241e+06      9657.3          5819.99         1.06264         1.26309         1112.57         0.000547361     0.000122309     0.740839        
3100       0.0905035       6.34197e+06     9827.22         4605.32         1.04912         1.27041         1156.72         0.00131055      0.000125144     0.618129        
3200       0.0859745       6.75874e+06     9959.61         3789.66         1.03967         1.28272         1197.94         0.00294328      0.000127925     0.515           
3300       0.0821151       7.10929e+06     10067.5         3256.16         1.03331         1.29729         1236.49         0.00620853      0.000130659     0.464271        
3400       0.0787347       7.41495e+06     10158.8         2874.24         1.02867         1.31307         1273.28         0.012366        0.000133355     0.426743        
3500       0.0757261       7.68655e+06     10237.5         2566.08         1.02481         1.33038         1309.32         0.0234018       0.000136025     0.395994        
3600       0.073024        7.9295e+06      10306           2298.52         1.02131         1.34982         1345.32         0.0423597       0.000138678     0.369424        
3700       0.0705819       8.14731e+06     10365.7         2063.15         1.01806         1.37153         1381.56         0.0738506       0.000141329     0.346347        
3800       0.0683617       8.34323e+06     10418           1860.94         1.01509         1.39498         1417.83         0.124835        0.00014398      0.327248        
3900       0.0663305       8.52067e+06     10464.1         1693.7          1.01247         1.41897         1453.57         0.205741        0.000146634     0.312478        
4000       0.0644599       8.68313e+06     10505.2         1561.03         1.01024         1.44181         1487.99         0.331891        0.00014929      0.302054        
4100       0.0627255       8.83394e+06     10542.4         1460.26         1.00838         1.46177         1520.21         0.525135        0.000151944     0.295728        
4200       0.0611072       8.97611e+06     10576.7         1387.5          1.00688         1.47736         1549.56         0.815504        0.000154599     0.293029        
4300       0.0595885       9.11224e+06     10608.7         1338.67         1.0057          1.48764         1575.56         1.2428          0.00015725      0.293672        
4400       0.058156        9.24452e+06     10639.2         1310.08         1.00478         1.49227         1598.05         1.85797         0.000159886     0.297611        
4500       0.0567987       9.37483e+06     10668.4         1298.78         1.0041          1.49141         1617.12         2.72439         0.000162515     0.304392        
4600       0.0555078       9.50478e+06     10697           1302.49         1.00361         1.48561         1633.03         3.91907         0.000165137     0.314456        
4700       0.0542756       9.63577e+06     10725.2         1319.6          1.00328         1.47567         1646.19         5.5339          0.00016775      0.326785        
4800       0.0530961       9.7691e+06      10753.2         1348.94         1.0031          1.46248         1657.07         7.67683         0.000170352     0.34183         
