T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        3.96252         -7.36599e+06    2604.68         712.206         1               1.13393         169.164         1e-06           1.62267e-05     0.0170841       
400        2.97189         -7.28869e+06    2826.29         825.034         1               1.11354         193.569         1e-06           2.10733e-05     0.0247911       
500        2.37751         -7.20227e+06    3018.83         898.545         1               1.10329         215.419         1e-06           2.58308e-05     0.0325228       
600        1.98126         -7.10976e+06    3187.35         948.347         1               1.09734         235.342         1e-06           3.04898e-05     0.0401896       
700        1.69822         -7.01312e+06    3336.25         982.345         1               1.09365         253.771         1e-06           3.50435e-05     0.0477088       
800        1.48594         -6.91363e+06    3469.06         1006.11         1               1.09124         270.993         1e-06           3.94898e-05     0.0550504       
900        1.32084         -6.81208e+06    3588.65         1024.39         1               1.08947         287.199         1e-06           4.38287e-05     0.0622541       
1000       1.18875         -6.70878e+06    3697.48         1041.98         1               1.08786         302.511         1e-06           4.80623e-05     0.0692443       
1100       1.08061         -6.60417e+06    3799.26         1054.4          1.00005         1.08702         317.157         1e-06           5.21903e-05     0.0769533       
1200       0.99014         -6.49737e+06    3892.17         1087.16         1.00032         1.08578         331.096         1e-06           5.62227e-05     0.0879301       
1300       0.912164        -6.38453e+06    3982.44         1188.89         1.0016          1.08433         344.506         1e-06           6.01803e-05     0.112795        
1400       0.840787        -6.25294e+06    4079.83         1495.66         1.00636         1.08476         358.053         1e-06           6.4125e-05      0.180933        
1500       0.767183        -6.06876e+06    4206.57         2311.52         1.02093         1.09577         374.035         1e-06           6.82103e-05     0.358559        
1600       0.678112        -5.75371e+06    4409.24         4252.36         1.05822         1.13424         397.571         1e-06           7.27409e-05     0.755641        
1700       0.560414        -5.1459e+06     4776.47         8352.84         1.13436         1.21916         437.927         1e-06           7.81177e-05     1.4435          
1800       0.422858        -4.01824e+06    5419.43         13992.5         1.21981         1.32093         506.054         1e-06           8.42372e-05     1.97604         
1900       0.318228        -2.62194e+06    6174.89         11990.2         1.1726          1.28667         587.206         1e-06           8.94905e-05     1.36123         
2000       0.266915        -1.69958e+06    6649            7563.13         1.10157         1.22617         645.776         1e-06           9.31341e-05     0.880168        
2100       0.231258        -894662         7041.39         9080.33         1.12079         1.25377         695.501         1e-06           9.60861e-05     1.09697         
2200       0.197912        108288          7507.7          10489.8         1.14067         1.28548         754.601         1e-06           9.87094e-05     1.22078         
2300       0.171856        1.08742e+06     7943.25         8676.1          1.11447         1.2714          814.751         1e-06           0.000101215     0.976175        
2400       0.154403        1.82477e+06     8257.44         6242.63         1.07727         1.24564         865.38          2.69012e-06     0.000103794     0.724354        
2500       0.142009        2.39113e+06     8488.76         5383.44         1.05898         1.23065         904.616         7.26645e-06     0.000106484     0.660227        
2600       0.131492        2.95373e+06     8709.32         6070.8          1.06129         1.22775         937.969         1.73553e-05     0.000109246     0.768915        
2700       0.121339        3.62605e+06     8962.9          7352.28         1.07446         1.23979         975.166         3.88404e-05     0.000112057     0.93461         
2800       0.111642        4.39345e+06     9241.94         7753.7          1.08077         1.25269         1018.92         8.99351e-05     0.00011492      0.984152        
