T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        3.25266         -6.70327e+06    2989.62         740.474         1               1.16063         188.898         1e-06           1.69611e-05     0.0191319       
400        2.43949         -6.62366e+06    3217.95         843.95          1               1.13821         216.004         1e-06           2.20539e-05     0.0270918       
500        1.9516          -6.53563e+06    3414.09         912.171         1               1.12657         240.261         1e-06           2.69954e-05     0.0350152       
600        1.62633         -6.44192e+06    3584.82         959.263         1               1.11961         262.379         1e-06           3.17691e-05     0.0428406       
700        1.394           -6.34425e+06    3735.31         992.274         1               1.11517         282.84          1e-06           3.63721e-05     0.0505033       
800        1.21975         -6.24377e+06    3869.45         1016.1          1               1.11217         301.961         1e-06           4.08099e-05     0.0579768       
900        1.08422         -6.1412e+06     3990.24         1034.88         1               1.10991         319.953         1e-06           4.50921e-05     0.0652874       
1000       0.975791        -6.03682e+06    4100.19         1052.91         1               1.10787         336.949         1e-06           4.92301e-05     0.0723531       
1100       0.88703         -5.93104e+06    4202.92         1066.79         1.00004         1.10663         353.202         1e-06           5.32322e-05     0.0802854       
1200       0.812802        -5.82288e+06    4297.01         1102.53         1.00029         1.10462         368.597         1e-06           5.71147e-05     0.0921651       
1300       0.748936        -5.70811e+06    4388.82         1213.97         1.00145         1.10127         383.186         1e-06           6.09017e-05     0.120761        
1400       0.690826        -5.57281e+06    4488.94         1549.58         1.00576         1.09791         397.514         1e-06           6.46496e-05     0.201203        
1500       0.63176         -5.38018e+06    4621.49         2435.48         1.01888         1.1037          414.085         1e-06           6.8488e-05      0.411126        
1600       0.561854        -5.047e+06      4835.81         4495.62         1.05201         1.13534         438.269         1e-06           7.2665e-05      0.86887         
1700       0.471608        -4.41232e+06    5219.33         8578.61         1.117           1.20715         478.699         1e-06           7.74804e-05     1.59983         
1800       0.368535        -3.30167e+06    5852.86         13147.9         1.17991         1.28369         543.334         1e-06           8.27888e-05     1.98715         
1900       0.291447        -2.06495e+06    6522.31         10123.6         1.13145         1.24735         615.03          1e-06           8.7361e-05      1.2445          
2000       0.251054        -1.2654e+06     6933.12         6979.65         1.08581         1.21282         667.016         1e-06           9.07594e-05     0.889249        
2100       0.219747        -495939         7308.18         8735.31         1.10925         1.2437          714.301         1e-06           9.36587e-05     1.14598         
2200       0.190321        447250          7746.78         9620.05         1.12276         1.2685          770.475         1e-06           9.63187e-05     1.21248         
