T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        4.909           -7.95147e+06    2254.26         687.233         1               1.10964         150.347         1e-06           1.5352e-05      0.0149102       
400        3.68175         -7.87621e+06    2469.92         808.323         1               1.09171         172.197         1e-06           1.98784e-05     0.0223037       
500        2.9454          -7.7912e+06     2659.29         886.508         1               1.08295         191.748         1e-06           2.43661e-05     0.0297704       
600        2.4545          -7.69977e+06    2825.85         938.702         1               1.07798         209.567         1e-06           2.88216e-05     0.0371975       
700        2.10386         -7.60404e+06    2973.35         973.573         1               1.07497         226.043         1e-06           3.32419e-05     0.04449         
800        1.84087         -7.50543e+06    3104.99         997.288         1               1.07306         241.435         1e-06           3.76215e-05     0.0516192       
900        1.63633         -7.40478e+06    3223.52         1015.11         1               1.07169         255.917         1e-06           4.19531e-05     0.0586415       
1000       1.47269         -7.30243e+06    3331.34         1032.32         1.00001         1.07044         269.603         1e-06           4.62305e-05     0.0654905       
1100       1.33871         -7.19886e+06    3432.3          1043.37         1.00005         1.06989         282.693         1e-06           5.04442e-05     0.0729493       
1200       1.22658         -7.09328e+06    3524.14         1073.09         1.00035         1.06924         295.198         1e-06           5.4597e-05      0.083127        
1300       1.12974         -6.98226e+06    3612.96         1164.59         1.00177         1.0692          307.367         1e-06           5.8706e-05      0.104859        
1400       1.04051         -6.85438e+06    3707.61         1440.62         1.00703         1.07256         319.939         1e-06           6.28385e-05     0.162721        
1500       0.947066        -6.67903e+06    3828.3          2179.78         1.0232          1.08799         335.075         1e-06           6.71762e-05     0.313037        
1600       0.831428        -6.38386e+06    4018.18         3976.19         1.06507         1.13314         357.717         1e-06           7.20945e-05     0.656127        
1700       0.675421        -5.81001e+06    4364.85         7998.53         1.15344         1.23208         397.681         1e-06           7.8135e-05      1.29258         
1800       0.490247        -4.68778e+06    5004.48         14529.6         1.26415         1.36225         468.836         1e-06           8.52914e-05     1.92954         
1900       0.348656        -3.15157e+06    5835.22         13865.9         1.22067         1.33383         559.826         1e-06           9.1446e-05      1.46887         
2000       0.283313        -2.09692e+06    6377.47         8229.06         1.12006         1.24273         625.798         1e-06           9.5391e-05      0.885402        
2100       0.242796        -1.25632e+06    6787.36         9348            1.13183         1.26362         678.106         1e-06           9.84007e-05     1.05382         
2200       0.205505        -206026         7275.6          11216.5         1.15737         1.30167         739.779         1e-06           0.00010098      1.22033         
2300       0.176115        860743          7750.07         9594.08         1.13165         1.28789         803.869         1e-06           0.000103392     1.01002         
2400       0.156684        1.67727e+06     8098            6873.29         1.0889          1.25601         858.003         2.60332e-06     0.000105902     0.746508        
2500       0.143313        2.29127e+06     8348.81         5729.46         1.06578         1.23696         899.911         7.11063e-06     0.000108564     0.660115        
2600       0.13229         2.88113e+06     8580.08         6300.66         1.06568         1.23224         934.91          1.71003e-05     0.000111319     0.751363        
2700       0.121775        3.57883e+06     8843.23         7663.24         1.07898         1.24408         973.058         3.82217e-05     0.000114126     0.916272        
