T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        3.48928         -6.95414e+06    2844.87         729.773         1               1.15062         181.593         1e-06           1.67095e-05     0.0184019       
400        2.61696         -6.8754e+06     3070.65         836.79          1               1.12888         207.694         1e-06           2.17209e-05     0.0262768       
500        2.09357         -6.78798e+06    3265.43         907.013         1               1.11772         231.059         1e-06           2.66048e-05     0.0341388       
600        1.74464         -6.69473e+06    3435.32         955.131         1               1.11113         252.366         1e-06           3.13461e-05     0.0419155       
700        1.49541         -6.59744e+06    3585.21         988.516         1               1.10698         272.076         1e-06           3.59399e-05     0.0495352       
800        1.30848         -6.49734e+06    3718.85         1012.32         1               1.1042          290.496         1e-06           4.03885e-05     0.0569696       
900        1.16309         -6.39515e+06    3839.18         1030.91         1               1.10213         307.829         1e-06           4.46976e-05     0.0642493       
1000       1.04678         -6.29119e+06    3948.71         1048.77         1               1.10026         324.204         1e-06           4.88754e-05     0.0712947       
1100       0.951556        -6.18585e+06    4051.08         1062.11         1.00004         1.09918         339.866         1e-06           5.29269e-05     0.0791476       
1200       0.871916        -6.0782e+06     4144.73         1096.78         1.0003          1.09747         354.728         1e-06           5.68665e-05     0.0906823       
1300       0.80335         -5.96415e+06    4235.96         1204.76         1.0015          1.09487         368.895         1e-06           6.0717e-05      0.117834        
1400       0.74083         -5.83019e+06    4335.09         1530.14         1.00597         1.093           382.964         1e-06           6.45368e-05     0.193511        
1500       0.676953        -5.64059e+06    4465.56         2391.48         1.01961         1.10078         399.352         1e-06           6.84638e-05     0.390978        
1600       0.600736        -5.31375e+06    4675.8          4411.61         1.05422         1.13493         423.329         1e-06           7.27651e-05     0.825739        
1700       0.501471        -4.6879e+06     5053.97         8513.56         1.12317         1.21144         463.773         1e-06           7.77735e-05     1.54227         
1800       0.387036        -3.56815e+06    5692.59         13494.1         1.19402         1.29685         529.741         1e-06           8.33547e-05     1.98779         
1900       0.300816        -2.27102e+06    6394.61         10799.7         1.14568         1.26078         604.836         1e-06           8.81545e-05     1.28777         
2000       0.256767        -1.42801e+06    6827.83         7182.55         1.09125         1.21732         659.129         1e-06           9.16369e-05     0.88397         
2100       0.223929        -645530         7209.24         8872.24         1.11353         1.24741         707.29          1e-06           9.4555e-05      1.12752         
2200       0.193078        321072          7658.7          9954.72         1.12942         1.27476         764.574         1e-06           9.72028e-05     1.21679         
2300       0.169128        1.23853e+06     8066.85         8051.34         1.10324         1.26097         822.069         1e-06           9.97587e-05     0.950596        
2400       0.152921        1.923e+06       8358.5          5827.75         1.06975         1.23926         870.376         2.75152e-06     0.00010237      0.709391        
2500       0.14115         2.45815e+06     8577.05         5156.63         1.05457         1.22667         907.79          7.37506e-06     0.000105071     0.66191         
2600       0.130962        3.00257e+06     8790.48         5912.13         1.05836         1.22484         940.048         1.75331e-05     0.000107832     0.783011        
2700       0.121058        3.6566e+06      9037.16         7122.6          1.07125         1.23687         976.606         3.93155e-05     0.000110642     0.947648        
2800       0.111638        4.39412e+06     9305.35         7391.45         1.07629         1.24889         1019.51         9.19399e-05     0.000113503     0.982882        
2900       0.103536        5.09246e+06     9550.51         6433.99         1.06762         1.25325         1064.8          0.000231586     0.000116379     0.867955        
3000       0.0970182       5.66997e+06     9746.42         5131.27         1.05391         1.25774         1109.09         0.000581992     0.000119226     0.716328        
3100       0.091776        6.12859e+06     9896.89         4104.8          1.04242         1.26751         1151.04         0.00138541      0.000122016     0.59954         
3200       0.0874112       6.5028e+06      10015.8         3429.18         1.03454         1.28095         1190.17         0.0030886       0.000124746     0.468764        
3300       0.0836465       6.82208e+06     10114           2983.93         1.02919         1.29567         1226.8          0.00646591      0.00012743      0.427107        
3400       0.0803214       7.1035e+06      10198.1         2657.76         1.02519         1.31115         1261.86         0.0127834       0.000130077     0.395686        
3500       0.0773449       7.35552e+06     10271.1         2389.45         1.02177         1.32787         1296.24         0.0240227       0.0001327       0.369576        
3600       0.0746595       7.5825e+06      10335.1         2155.28         1.01864         1.34622         1330.47         0.0432103       0.000135306     0.347096        
3700       0.0722226       7.78756e+06     10391.3         1950.86         1.01573         1.36603         1364.6          0.0749287       0.000137907     0.328007        
3800       0.0699982       7.97373e+06     10441           1778.13         1.0131          1.38641         1398.23         0.126099        0.000140506     0.312844        
