T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        4.43576         -7.68996e+06    2412.59         698.387         1               1.12057         158.941         1e-06           1.57739e-05     0.0159292       
400        3.32682         -7.61379e+06    2630.91         815.787         1               1.10146         181.958         1e-06           2.04577e-05     0.023475        
500        2.66146         -7.52815e+06    2821.7          891.884         1               1.09201         202.56          1e-06           2.50814e-05     0.0310732       
600        2.21788         -7.43624e+06    2989.13         943.01          1               1.08659         221.342         1e-06           2.96427e-05     0.0386214       
700        1.90104         -7.3401e+06     3137.26         977.491         1               1.08328         238.712         1e-06           3.41361e-05     0.0460293       
800        1.66341         -7.2411e+06     3269.42         1001.23         1               1.08114         254.943         1e-06           3.8557e-05      0.0532671       
900        1.47859         -7.14005e+06    3388.42         1019.25         1               1.0796          270.214         1e-06           4.2901e-05      0.060383        
1000       1.33072         -7.03727e+06    3496.69         1036.64         1.00001         1.07819         284.645         1e-06           4.71658e-05     0.0673058       
1100       1.20966         -6.93324e+06    3598.02         1048.31         1.00005         1.07752         298.449         1e-06           5.1346e-05      0.0748846       
1200       1.10836         -6.82711e+06    3690.35         1079.44         1.00034         1.07661         311.614         1e-06           5.54478e-05     0.0854224       
1300       1.02096         -6.71527e+06    3779.82         1175.71         1.00169         1.07598         324.364         1e-06           5.94901e-05     0.108542        
1400       0.940678        -6.58567e+06    3875.73         1466.14         1.00671         1.07809         337.408         1e-06           6.35378e-05     0.170945        
1500       0.857217        -6.40621e+06    3999.24         2241.41         1.02212         1.09158         352.965         1e-06           6.7759e-05      0.333364        
1600       0.754999        -6.10167e+06    4195.15         4107.22         1.06181         1.13366         376.05          1e-06           7.24947e-05     0.700686        
1700       0.618374        -5.51137e+06    4551.78         8176.18         1.14435         1.22598         416.232         1e-06           7.82156e-05     1.36167         
1800       0.457219        -4.38413e+06    5194.37         14316.6         1.243           1.34257         486.037         1e-06           8.48611e-05     1.95489         
1900       0.3341          -2.91016e+06    5991.63         13000.2         1.19754         1.31104         572.432         1e-06           9.05663e-05     1.4205          
2000       0.275671        -1.91767e+06    6501.87         7911.29         1.11117         1.23467         634.878         1e-06           9.43637e-05     0.881495        
2100       0.237468        -1.0937e+06     6903.6          9231.81         1.12677         1.25909         685.972         1e-06           9.73459e-05     1.07299         
2200       0.202002        -63937.3        7382.33         10897.1         1.1498          1.2943          746.496         1e-06           9.99463e-05     1.22138         
2300       0.174155        963719          7839.43         9179.89         1.12379         1.28028         808.802         1e-06           0.000102404     0.995275        
2400       0.155639        1.7443e+06      8172.05         6585.62         1.08356         1.25118         861.339         2.642e-06       0.000104948     0.736503        
2500       0.142718        2.33654e+06     8413.95         5571.41         1.06267         1.23404         902.041         7.18037e-06     0.000107625     0.65986         
2600       0.131927        2.91401e+06     8640.36         6197.23         1.06369         1.23018         936.291         1.72145e-05     0.000110384     0.75886         
2700       0.121575        3.60045e+06     8899.26         7526.43         1.07697         1.24215         974.009         3.84908e-05     0.000113195     0.924418        
2800       0.111663        4.39063e+06     9186.57         8032.96         1.08425         1.25575         1018.43         8.84972e-05     0.000116053     0.984274        
2900       0.103068        5.15827e+06     9456.04         7137.22         1.07625         1.25989         1065.73         0.000219962     0.000118943     0.887427        
3000       0.0961762       5.80073e+06     9673.98         5709.56         1.06125         1.26217         1112.03         0.000552466     0.000121819     0.737138        
3100       0.0906975       6.30908e+06     9840.78         4524.72         1.04805         1.26988         1155.83         0.00132165      0.000124648     0.615276        
3200       0.0861947       6.719e+06       9970.99         3731.73         1.03885         1.28239         1196.72         0.00296495      0.000127421     0.507573        
3300       0.0823502       7.06453e+06     10077.4         3212.62         1.03266         1.297           1234.98         0.00624712      0.000130148     0.458331        
3400       0.0789785       7.36633e+06     10167.5         2839.78         1.02812         1.31274         1271.49         0.012429        0.000132837     0.421802        
3500       0.0759749       7.63481e+06     10245.3         2538.05         1.02433         1.32997         1307.27         0.0234961       0.0001355       0.391806        
3600       0.0732754       7.87523e+06     10313.1         2275.84         1.02089         1.34923         1343            0.04249         0.000138146     0.365899        
3700       0.0708341       8.09103e+06     10372.2         2045.44         1.01769         1.37064         1378.9          0.0740172       0.00014079      0.343472        
3800       0.0686132       8.28542e+06     10424.1         1847.99         1.01478         1.3936          1414.75         0.125033        0.000143433     0.325024        
3900       0.0665802       8.46179e+06     10469.9         1685.32         1.01221         1.41682         1449.94         0.205953        0.000146078     0.310905        
4000       0.0647068       8.62363e+06     10510.9         1556.98         1.01002         1.43863         1483.66         0.332074        0.000148724     0.301138        
4100       0.0629687       8.77425e+06     10548.1         1460.34         1.00821         1.45727         1515.07         0.525186        0.000151369     0.29549         
4200       0.0613461       8.91663e+06     10582.4         1391.6          1.00675         1.47132         1543.47         0.815202        0.000154014     0.293518        
4300       0.0598225       9.05336e+06     10614.6         1346.81         1.0056          1.47992         1568.46         1.24172         0.00015665      0.294975        
4400       0.0583846       9.18667e+06     10645.2         1322.45         1.00473         1.4828          1589.89         1.85537         0.000159276     0.299827        
4500       0.0570215       9.31844e+06     10674.8         1315.73         1.00407         1.4802          1607.9          2.71908         0.000161896     0.307669        
4600       0.0557242       9.45033e+06     10703.8         1324.56         1.00362         1.47275         1622.78         3.90929         0.000164511     0.318931        
4700       0.0544853       9.58382e+06     10732.5         1347.49         1.00333         1.4613          1634.97         5.51714         0.000167107     0.332843        
4800       0.0532984       9.72027e+06     10761.2         1383.53         1.00319         1.4468          1644.96         7.64969         0.000169698     0.349698        
4900       0.0521581       9.86094e+06     10790.2         1432.01         1.00318         1.4302          1653.28         10.4314         0.000172277     0.369627        
5000       0.0510597       1.00071e+07     10819.8         1492.32         1.0033          1.41245         1660.47         14.0051         0.000174844     0.39266         
5100       0.049999        1.01598e+07     10850           1563.88         1.00354         1.39437         1667.02         18.5331         0.000177399     0.418769        
5200       0.0489726       1.03202e+07     10881.1         1645.89         1.00388         1.37666         1673.38         24.1977         0.000179941     0.44782         
5300       0.0479771       1.04893e+07     10913.3         1737.23         1.00432         1.35987         1679.94         31.2014         0.000182471     0.47954         
5400       0.04701         1.06679e+07     10946.7         1836.34         1.00486         1.34443         1687.02         39.7666         0.000184988     0.513471        
5500       0.0460691       1.08567e+07     10981.4         1941.07         1.00548         1.33063         1694.87         50.1339         0.000187491     0.548949        
5600       0.0451525       1.10562e+07     11017.3         2048.64         1.00617         1.31865         1703.69         62.5584         0.000189982     0.585088        
5700       0.044259        1.12664e+07     11054.5         2155.57         1.00689         1.3086          1713.61         77.3094         0.00019246      0.620777        
5800       0.0433877       1.14872e+07     11092.9         2257.72         1.00763         1.3005          1724.72         94.6611         0.000194923     0.654717        
5900       0.0425382       1.17177e+07     11132.3         2350.48         1.00836         1.29434         1737.11         114.89          0.000197375     0.685502        
