T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
13800      0.0152609       3.31825e+07     13072.8         6552.87         1.04235         1.24318         2795.57         5795.46         0.000261825     1.81165         
13900      0.0150753       3.38524e+07     13121.2         6846.88         1.04441         1.24288         2809.61         5868.97         0.000257765     1.84213         
14000      0.0148897       3.45523e+07     13171.4         7151.47         1.04657         1.24292         2824.2          5943.33         0.000253452     1.87396         
14100      0.0147039       3.52831e+07     13223.4         7465.9          1.04883         1.24329         2839.35         6018.51         0.000248902     1.90713         
14200      0.0145179       3.60458e+07     13277.3         7789.4          1.05118         1.24397         2855.06         6094.47         0.000244126     1.94165         
14300      0.0143318       3.68412e+07     13333.1         8121.18         1.05361         1.24494         2871.33         6171.17         0.000239139     1.97749         
14400      0.0141456       3.76702e+07     13390.9         8460.4          1.05612         1.24618         2888.17         6248.57         0.000233961     2.01464         
14500      0.0139593       3.85335e+07     13450.6         8806.2          1.05869         1.24766         2905.58         6326.61         0.000228611     2.05308         
14600      0.013773        3.94317e+07     13512.3         9157.68         1.06132         1.24938         2923.54         6405.25         0.000223107     2.09277         
14700      0.0135867       4.03652e+07     13576.1         9513.87         1.064           1.2513          2942.07         6484.43         0.000217472     2.13366         
14800      0.0134005       4.13346e+07     13641.8         9873.79         1.06671         1.25341         2961.16         6564.08         0.000211726     2.17572         
14900      0.0132146       4.23401e+07     13709.5         10236.4         1.06946         1.25568         2980.79         6644.15         0.000205891     2.21886         
15000      0.013029        4.33819e+07     13779.2         10600.5         1.07222         1.2581          3000.97         6724.57         0.000199989     2.26301         
15100      0.0128438       4.44602e+07     13850.8         10965           1.07498         1.26065         3021.69         6805.29         0.000194042     2.3081          
15200      0.0126592       4.55749e+07     13924.4         11328.5         1.07774         1.2633          3042.94         6886.24         0.000188068     2.35401         
15300      0.0124753       4.67258e+07     13999.9         11689.9         1.08048         1.26603         3064.71         6967.35         0.00018209      2.40064         
15400      0.0122922       4.79127e+07     14077.2         12047.7         1.08319         1.26882         3086.99         7048.57         0.000176125     2.44787         
15500      0.0121101       4.91352e+07     14156.3         12400.4         1.08585         1.27166         3109.77         7129.84         0.000170193     2.49556         
15600      0.0119291       5.03926e+07     14237.2         12746.5         1.08845         1.27453         3133.03         7211.09         0.000164311     2.54357         
15700      0.0117495       5.16842e+07     14319.7         13084.4         1.09099         1.27739         3156.77         7292.27         0.000158494     2.59175         
15800      0.0115713       5.30091e+07     14403.8         13412.5         1.09343         1.28024         3180.96         7373.32         0.000152756     2.63993         
15900      0.0113947       5.43663e+07     14489.5         13729.2         1.09578         1.28306         3205.6          7454.18         0.000147112     2.68793         
16000      0.0112199       5.57545e+07     14576.5         14032.7         1.09802         1.28582         3230.66         7534.81         0.000141574     2.73558         
16100      0.011047        5.71723e+07     14664.8         14321.3         1.10013         1.28851         3256.12         7615.14         0.000136151     2.7827          
16200      0.0108762       5.86182e+07     14754.4         14593.4         1.1021          1.29111         3281.95         7695.14         0.000130853     2.82909         
16300      0.0107076       6.00904e+07     14845           14847.2         1.10392         1.2936          3308.15         7774.74         0.000125689     2.87458         
16400      0.0105415       6.1587e+07      14936.5         15081.2         1.10557         1.29598         3334.68         7853.92         0.000120664     2.91896         
16500      0.0103778       6.31059e+07     15028.8         15293.8         1.10706         1.29822         3361.52         7932.61         0.00011579      2.96211         
16600      0.0102169       6.4645e+07      15121.8         15483.7         1.10835         1.30031         3388.64         8010.78         0.000111061     3.00375         
16700      0.0100587       6.62019e+07     15215.3         15649.3         1.10946         1.30224         3416.01         8088.39         0.000106486     3.04376         
16800      0.00990349      6.7774e+07      15309.2         15789.7         1.11036         1.30401         3443.61         8165.41         0.000102067     3.08197         
16900      0.0097513       6.93589e+07     15403.2         15903.7         1.11106         1.3056          3471.41         8241.8          9.78054e-05     3.11823         
17000      0.00960225      7.09539e+07     15497.3         15990.6         1.11155         1.30701         3499.37         8317.51         9.37024e-05     3.15243         
17100      0.00945641      7.25561e+07     15591.3         16049.9         1.11182         1.30824         3527.46         8392.55         8.97576e-05     3.18443         
17200      0.00931388      7.41629e+07     15685           16081           1.11188         1.30927         3555.67         8466.86         8.59706e-05     3.21414         
17300      0.00917472      7.57714e+07     15778.2         16084           1.11173         1.31013         3583.94         8540.41         8.23396e-05     3.24149         
17400      0.00903898      7.73788e+07     15870.9         16058.9         1.11136         1.3108          3612.27         8613.19         7.88629e-05     3.26643         
17500      0.0089067       7.89822e+07     15962.8         16006.1         1.11079         1.31129         3640.61         8685.18         7.55379e-05     3.28891         
17600      0.0087779       8.05791e+07     16053.8         15926.3         1.11002         1.3116          3668.94         8756.34         7.2362e-05      3.30894         
17700      0.00865261      8.21666e+07     16143.7         15820.3         1.10906         1.31176         3697.23         8826.69         6.93318e-05     3.32653         
17800      0.00853083      8.37423e+07     16232.5         15689.2         1.10791         1.31176         3725.46         8896.18         6.64437e-05     3.34172         
17900      0.00841253      8.53037e+07     16320           15534.5         1.10659         1.31163         3753.6          8964.8          6.36939e-05     3.35458         
18000      0.00829772      8.68485e+07     16406           15357.5         1.10511         1.31136         3781.63         9032.54         6.10784e-05     3.36518         
18100      0.00818634      8.83745e+07     16490.6         15160.1         1.10348         1.31098         3809.53         9099.39         5.85929e-05     3.37362         
18200      0.00807835      8.98799e+07     16573.5         14944.1         1.10171         1.31051         3837.28         9165.35         5.6233e-05      3.38003         
18300      0.00797372      9.13628e+07     16654.8         14711.3         1.09983         1.30995         3864.86         9230.38         5.39944e-05     3.38454         
18400      0.00787236      9.28216e+07     16734.3         14464           1.09784         1.30932         3892.25         9294.5          5.18724e-05     3.3873          
18500      0.00777422      9.42551e+07     16812           14204.1         1.09576         1.30865         3919.45         9357.69         4.98625e-05     3.38847         
18600      0.00767922      9.56621e+07     16887.8         13933.8         1.09361         1.30795         3946.43         9419.95         4.796e-05       3.38822         
18700      0.00758727      9.70416e+07     16961.8         13655.3         1.0914          1.30722         3973.19         9481.29         4.61604e-05     3.38672         
18800      0.0074983       9.8393e+07      17033.9         13370.5         1.08914         1.30649         3999.73         9541.69         4.44592e-05     3.38415         
18900      0.00741219      9.97156e+07     17104           13081.6         1.08685         1.30578         4026.02         9601.14         4.28519e-05     3.38068         
19000      0.00732887      1.01009e+08     17172.3         12790.5         1.08455         1.30508         4052.06         9659.63         4.1334e-05      3.37647         
19100      0.00724823      1.02274e+08     17238.7         12498.9         1.08224         1.30442         4077.85         9717.15         3.99012e-05     3.37171         
19200      0.00717017      1.03509e+08     17303.2         12208.7         1.07993         1.3038          4103.39         9773.71         3.85492e-05     3.36654         
19300      0.00709459      1.04716e+08     17365.8         11921.4         1.07765         1.30324         4128.67         9829.32         3.72721e-05     3.36126         
19400      0.00702139      1.05893e+08     17426.7         11638.3         1.07539         1.30273         4153.68         9883.98         3.60695e-05     3.35579         
19500      0.00695048      1.07043e+08     17485.8         11360.8         1.07317         1.30229         4178.42         9937.69         3.49359e-05     3.35037         
19600      0.00688175      1.08166e+08     17543.3         11090.1         1.071           1.30192         4202.89         9990.46         3.38675e-05     3.34512         
19700      0.00681509      1.09262e+08     17599           10826.9         1.06888         1.30162         4227.09         10042.3         3.28608e-05     3.34016         
19800      0.00675043      1.10332e+08     17653.2         10572.3         1.06682         1.30139         4251.01         10093.1         3.19121e-05     3.33559         
19900      0.00668766      1.11376e+08     17705.8         10326.8         1.06483         1.30123         4274.66         10143           3.10164e-05     3.33158         
20000      0.00662669      1.12397e+08     17757           10090.8         1.0629          1.30114         4298.02         10192           3.01741e-05     3.32806         
20100      0.00656743      1.13395e+08     17806.8         9864.81         1.06104         1.30112         4321.12         10240           2.93804e-05     3.32517         
20200      0.00650981      1.14371e+08     17855.2         9649.01         1.05925         1.30117         4343.93         10287           2.86324e-05     3.32298         
20300      0.00645373      1.15325e+08     17902.3         9443.5          1.05754         1.30127         4366.46         10333.2         2.79276e-05     3.32153         
20400      0.00639912      1.1626e+08      17948.3         9248.26         1.0559          1.30143         4388.72         10378.5         2.72632e-05     3.32087         
20500      0.0063459       1.17175e+08     17993           9063.18         1.05434         1.30164         4410.71         10422.8         2.66369e-05     3.32103         
20600      0.00629401      1.18073e+08     18036.7         8888.04         1.05286         1.3019          4432.42         10466.3         2.60462e-05     3.32204         
20700      0.00624338      1.18953e+08     18079.3         8722.55         1.05144         1.3022          4453.87         10509           2.5489e-05      3.3239          
20800      0.00619395      1.19817e+08     18121           8566.34         1.0501          1.30255         4475.05         10550.8         2.49633e-05     3.32662         
20900      0.00614565      1.20667e+08     18161.7         8418.98         1.04882         1.30292         4495.99         10591.7         2.44671e-05     3.33021         
21000      0.00609843      1.21501e+08     18201.6         8280.01         1.04761         1.30333         4516.68         10631.9         2.39986e-05     3.33466         
21100      0.00605224      1.22323e+08     18240.6         8148.9          1.04646         1.30378         4537.13         10671.3         2.3556e-05      3.33997         
21200      0.00600703      1.23131e+08     18278.8         8025.12         1.04537         1.30425         4557.37         10710           2.3138e-05      3.34615         
21300      0.00596276      1.23928e+08     18316.3         7908.1          1.04434         1.30474         4577.39         10747.9         2.2743e-05      3.35318         
21400      0.00591939      1.24713e+08     18353.1         7797.27         1.04336         1.30526         4597.21         10785.3         2.23695e-05     3.36102         
21500      0.00587687      1.25488e+08     18389.2         7692.07         1.04243         1.30581         4616.84         10821.9         2.20164e-05     3.36966         
21600      0.00583517      1.26252e+08     18424.7         7591.94         1.04154         1.30639         4636.31         10858           2.16823e-05     3.37908         
21700      0.00579425      1.27006e+08     18459.5         7496.33         1.04069         1.30699         4655.61         10893.5         2.13664e-05     3.38928         
21800      0.0057541       1.27751e+08     18493.7         7404.71         1.03988         1.30761         4674.76         10928.5         2.10674e-05     3.40024         
21900      0.00571467      1.28487e+08     18527.4         7316.6          1.0391          1.30826         4693.79         10963.1         2.07817e-05     3.41198         
22000      0.00567595      1.29215e+08     18560.6         7231.53         1.03835         1.30894         4712.69         10997.2         2.05137e-05     3.42438         
22100      0.0056379       1.29934e+08     18593.2         7149.09         1.03763         1.30965         4731.49         11031           2.026e-05       3.43746         
22200      0.00560051      1.30645e+08     18625.3         7068.89         1.03693         1.31038         4750.18         11064.3         2.002e-05       3.4512          
22300      0.00556376      1.31348e+08     18656.9         6990.59         1.03625         1.31114         4768.79         11097.4         1.97929e-05     3.46558         
22400      0.00552763      1.32043e+08     18688           6913.9          1.03559         1.31193         4787.32         11130.2         1.95782e-05     3.48059         
22500      0.0054921       1.3273e+08      18718.6         6838.59         1.03495         1.31275         4805.77         11162.9         1.93751e-05     3.4962          
22600      0.00545716      1.33411e+08     18748.8         6764.46         1.03432         1.3136          4824.16         11195.3         1.91831e-05     3.5124          
22700      0.00542278      1.34083e+08     18778.5         6691.35         1.0337          1.31447         4842.48         11227.6         1.90018e-05     3.52918         
22800      0.00538896      1.34749e+08     18807.7         6619.18         1.03309         1.31537         4860.74         11259.7         1.88306e-05     3.54649         
22900      0.00535569      1.35407e+08     18836.5         6547.87         1.03249         1.31628         4878.93         11291.8         1.86692e-05     3.56431         
23000      0.00532294      1.36058e+08     18864.9         6477.41         1.0319          1.31722         4897.06         11323.8         1.85171e-05     3.58264         
23100      0.00529071      1.36703e+08     18892.9         6407.84         1.03131         1.31817         4915.12         11355.8         1.83738e-05     3.60147         
23200      0.00525898      1.3734e+08      18920.4         6339.21         1.03073         1.31913         4933.1          11387.9         1.82392e-05     3.62079         
23300      0.00522774      1.37971e+08     18947.5         6271.62         1.03016         1.3201          4951            11420           1.81127e-05     3.64059         
23400      0.00519699      1.38594e+08     18974.2         6205.19         1.0296          1.32107         4968.81         11452.1         1.79941e-05     3.66085         
23500      0.0051667       1.39212e+08     19000.6         6140.09         1.02904         1.32203         4986.51         11484.3         1.78829e-05     3.68153         
