T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        5.61886         -8.26114e+06    2058.68         674.024         1               1.09651         139.695         1e-06           1.47749e-05     0.0135906       
400        4.21414         -8.18696e+06    2271.21         799.485         1               1.08015         160.099         1e-06           1.90785e-05     0.0207738       
500        3.37132         -8.1027e+06     2458.89         880.141         1               1.07227         178.342         1e-06           2.33657e-05     0.0280516       
600        2.80943         -8.01183e+06    2624.42         933.601         1               1.06785         194.961         1e-06           2.76565e-05     0.0353002       
700        2.40808         -7.91658e+06    2771.18         968.934         1               1.06522         210.322         1e-06           3.19538e-05     0.04242         
800        2.10707         -7.81843e+06    2902.2          992.62          1               1.06356         224.668         1e-06           3.62526e-05     0.0493854       
900        1.87295         -7.71826e+06    3020.17         1010.21         1               1.06239         238.165         1e-06           4.05431e-05     0.0562645       
1000       1.68564         -7.61641e+06    3127.46         1027.2          1.00001         1.06132         250.923         1e-06           4.48147e-05     0.0629983       
1100       1.53228         -7.5134e+06     3227.98         1037.5          1.00006         1.06091         263.122         1e-06           4.90529e-05     0.0702923       
1200       1.4039          -7.40848e+06    3319.25         1065.42         1.00037         1.06051         274.796         1e-06           5.32558e-05     0.080031        
1300       1.29288         -7.29848e+06    3407.26         1150.8          1.00187         1.06111         286.217         1e-06           5.74382e-05     0.10013         
1400       1.19015         -7.17274e+06    3500.32         1408.26         1.00747         1.06581         298.143         1e-06           6.16706e-05     0.152678        
1500       1.08152         -7.00265e+06    3617.4          2100.38         1.02468         1.08345         312.676         1e-06           6.61523e-05     0.288761        
1600       0.945275        -6.71969e+06    3799.43         3803.39         1.0695          1.13244         334.687         1e-06           7.13071e-05     0.602739        
1700       0.759409        -6.16827e+06    4132.54         7743.61         1.16576         1.24021         374.288         1e-06           7.77822e-05     1.20667         
1800       0.537529        -5.05792e+06    4765.25         14719           1.29286         1.38886         447.046         1e-06           8.5672e-05      1.88897         
1900       0.368398        -3.44873e+06    5635.21         14954.5         1.25233         1.36523         543.984         1e-06           9.24927e-05     1.52622         
2000       0.293128        -2.31333e+06    6219.05         8654.34         1.13218         1.25394         614.683         1e-06           9.66492e-05     0.893393        
2100       0.249505        -1.45117e+06    6639.51         9480.59         1.13813         1.26933         668.577         1e-06           9.96959e-05     1.03148         
2200       0.209903        -377794         7138.44         11583.5         1.16659         1.3107          731.615         1e-06           0.000102248     1.21738         
2300       0.178566        735162          7633.43         10092.9         1.14135         1.29741         797.868         1e-06           0.000104598     1.02668         
2400       0.157981        1.59544e+06     8000            7226.55         1.09554         1.26214         853.961         2.55772e-06     0.000107059     0.758548        
2500       0.144044        2.23623e+06     8261.76         5924.1          1.06965         1.24062         897.328         7.02788e-06     0.0001097       0.661           
2600       0.132734        2.84123e+06     8498.98         6424.96         1.06812         1.23478         933.242         1.69646e-05     0.000112447     0.743159        
2700       0.122023        3.55215e+06     8767.12         7821.17         1.08135         1.24642         971.912         3.79158e-05     0.000115246     0.906764        
2800       0.111735        4.38104e+06     9068.49         8512.66         1.09028         1.26124         1017.5          8.62165e-05     0.000118097     0.982907        
2900       0.102759        5.20174e+06     9356.57         7686.94         1.08298         1.2655          1066.38         0.000212052     0.000120982     0.900322        
3000       0.0955716       5.8957e+06      9591.98         6173.25         1.06707         1.2662          1114.27         0.000531965     0.00012387      0.752177        
3100       0.0899051       6.44411e+06     9771.91         4864.01         1.05252         1.27224         1159.52         0.00127687      0.000126721     0.62699         
3200       0.0852929       6.88285e+06     9911.28         3975.24         1.04226         1.28389         1201.76         0.00287723      0.000129524     0.542238        
3300       0.081386        7.24944e+06     10024.1         3395.02         1.03538         1.29833         1241.27         0.00609016      0.000132281     0.48591         
3400       0.0779782       7.56741e+06     10119.1         2983.58         1.0304          1.31423         1278.93         0.0121711       0.000134993     0.442812        
3500       0.074954        7.84885e+06     10200.7         2654.5          1.02631         1.33186         1315.81         0.0231061       0.000137687     0.409142        
3600       0.072244        8.09975e+06     10271.4         2369.45         1.02262         1.35188         1352.73         0.0419437       0.000140362     0.380355        
3700       0.0697995       8.32383e+06     10332.8         2117.67         1.01921         1.37467         1390.09         0.073303        0.000143035     0.355052        
3800       0.0675816       8.5244e+06      10386.3         1899.37         1.01607         1.39996         1427.84         0.124155        0.000145711     0.333657        
3900       0.0655565       8.70489e+06     10433.2         1716.32         1.01329         1.42683         1465.59         0.204952        0.000148391     0.316497        
4000       0.0636953       8.86882e+06     10474.7         1568.08         1.0109          1.45383         1502.62         0.331081        0.000151075     0.303548        
4100       0.0619731       9.01957e+06     10511.9         1451.84         1.00889         1.47933         1538.19         0.524556        0.00015376      0.294489        
4200       0.0603693       9.16012e+06     10545.8         1363.32         1.00725         1.50184         1571.57         0.815752        0.000156448     0.288722        
4300       0.0588673       9.293e+06       10577.1         1297.85         1.00594         1.52031         1602.3          1.24507         0.000159129     0.286031        
4400       0.0574534       9.42031e+06     10606.4         1251.13         1.00489         1.5342          1630.13         1.8644          0.000161804     0.285642        
4500       0.0561168       9.54373e+06     10634.1         1219.47         1.00407         1.54342         1655.06         2.73843         0.000164472     0.287478        
4600       0.0548485       9.66461e+06     10660.7         1199.9          1.00344         1.54826         1677.24         3.94592         0.000167128     0.291622        
4700       0.0536412       9.78403e+06     10686.3         1190.05         1.00295         1.54925         1696.96         5.58091         0.000169783     0.296796        
4800       0.052489        9.90288e+06     10711.4         1188.04         1.00259         1.547           1714.54         7.75386         0.000172425     0.303274        
4900       0.0513868       1.00219e+07     10735.9         1192.3          1.00233         1.54224         1730.39         10.5931         0.000175057     0.310842        
5000       0.0503303       1.01415e+07     10760.1         1201.4          1.00216         1.53571         1744.91         14.2455         0.000177679     0.31927         
5100       0.049316        1.02622e+07     10784           1213.97         1.00204         1.52816         1758.52         18.8778         0.00018029      0.328296        
5200       0.0483407       1.03844e+07     10807.7         1228.58         1.00198         1.52033         1771.67         24.676          0.000182891     0.337607        
5300       0.0474018       1.0508e+07      10831.2         1243.77         1.00195         1.51288         1784.76         31.8462         0.000185481     0.346853        
5400       0.0464972       1.06331e+07     10854.6         1257.98         1.00195         1.50642         1798.19         40.6124         0.000188061     0.355654        
5500       0.0456249       1.07595e+07     10877.8         1269.71         1.00196         1.50147         1812.31         51.2144         0.000190629     0.363647        
5600       0.0447836       1.08869e+07     10900.8         1277.61         1.00196         1.49842         1827.39         63.9047         0.000193188     0.370541        
5700       0.0439717       1.10149e+07     10923.4         1280.73         1.00195         1.49751         1843.63         78.9446         0.000195737     0.376168        
5800       0.0431883       1.11429e+07     10945.7         1278.69         1.00192         1.4988          1861.11         96.5967         0.000198274     0.380542        
5900       0.0424323       1.12704e+07     10967.5         1271.83         1.00187         1.50211         1879.74         117.122         0.000200804     0.383875        
6000       0.0417027       1.13971e+07     10988.8         1261.2          1.00179         1.50703         1899.28         140.77          0.000203321     0.386548        
6100       0.0409983       1.15226e+07     11009.5         1248.43         1.0017          1.51292         1919.36         167.769         0.000205831     0.389054        
6200       0.0403181       1.16468e+07     11029.7         1235.36         1.00161         1.51902         1939.47         198.329         0.00020833      0.391895        
6300       0.0396609       1.17697e+07     11049.4         1223.77         1.00152         1.52453         1959.11         232.625         0.000210818     0.395512        
6400       0.0390253       1.18916e+07     11068.6         1215.04         1.00144         1.52876         1977.8          270.794         0.000213295     0.400226        
6500       0.0384101       1.20129e+07     11087.4         1210.1          1.00139         1.53121         1995.23         312.931         0.00021576      0.406227        
6600       0.0378141       1.21338e+07     11105.9         1209.39         1.00137         1.53166         2011.21         359.088         0.000218214     0.413601        
6700       0.0372361       1.22549e+07     11124.1         1213            1.00138         1.53007         2025.7          409.268         0.000220654     0.422345        
6800       0.0366749       1.23765e+07     11142.1         1220.83         1.00142         1.52659         2038.77         463.427         0.000223077     0.432418        
6900       0.0361295       1.24992e+07     11160           1232.62         1.00149         1.52144         2050.56         521.478         0.000225486     0.443755        
7000       0.0355991       1.26232e+07     11177.8         1248.12         1.00159         1.5149          2061.23         583.289         0.000227877     0.456288        
7100       0.0350826       1.27489e+07     11195.7         1267.07         1.00172         1.50723         2070.95         648.688         0.000230247     0.469948        
7200       0.0345794       1.28767e+07     11213.5         1289.28         1.00188         1.49869         2079.88         717.475         0.000232596     0.484682        
7300       0.0340888       1.30069e+07     11231.5         1314.57         1.00208         1.48949         2088.16         789.422         0.000234926     0.500393        
7400       0.0336099       1.31397e+07     11249.6         1342.83         1.0023          1.47983         2095.92         864.282         0.000237225     0.517141        
7500       0.0331422       1.32755e+07     11267.8         1373.96         1.00255         1.46988         2103.29         941.796         0.000239495     0.534837        
7600       0.0326851       1.34146e+07     11286.2         1407.9          1.00283         1.45978         2110.35         1021.69         0.000241734     0.553447        
7700       0.032238        1.35572e+07     11304.9         1444.6          1.00314         1.44963         2117.21         1103.71         0.00024394      0.572945        
7800       0.0318004       1.37036e+07     11323.7         1484.03         1.00348         1.43955         2123.94         1187.57         0.00024611      0.593301        
7900       0.0313719       1.38541e+07     11342.9         1526.15         1.00386         1.42962         2130.61         1273.03         0.00024824      0.614483        
8000       0.0309519       1.40089e+07     11362.4         1570.92         1.00427         1.41991         2137.29         1359.83         0.000250326     0.636456        
8100       0.03054         1.41684e+07     11382.2         1618.31         1.00471         1.41049         2144.03         1447.75         0.000252359     0.659689        
8200       0.0301359       1.43327e+07     11402.4         1668.25         1.00518         1.40139         2150.87         1536.57         0.000254351     0.683216        
8300       0.0297391       1.45021e+07     11422.9         1720.68         1.00569         1.39266         2157.88         1626.08         0.000256281     0.707624        
8400       0.0293494       1.46769e+07     11443.8         1775.5          1.00623         1.38434         2165.08         1716.11         0.000258167     0.732514        
8500       0.0289663       1.48573e+07     11465.2         1832.61         1.00681         1.37645         2172.5          1806.46         0.000259996     0.757989        
8600       0.0285896       1.50435e+07     11486.9         1891.87         1.00742         1.369           2180.18         1897.01         0.000261778     0.78375         
8700       0.028219        1.52357e+07     11509.2         1953.13         1.00806         1.36201         2188.15         1987.6          0.000263487     0.81025         
8800       0.0278542       1.54342e+07     11531.9         2016.19         1.00874         1.35549         2196.41         2078.11         0.000265135     0.837136        
8900       0.0274951       1.5639e+07      11555           2080.86         1.00944         1.34943         2205            2168.42         0.000266723     0.864333        
9000       0.0271413       1.58504e+07     11578.6         2146.88         1.01017         1.34383         2213.91         2258.45         0.000268246     0.891758        
9100       0.0267928       1.60684e+07     11602.7         2213.98         1.01093         1.33869         2223.16         2348.09         0.000269706     0.919322        
9200       0.0264494       1.62932e+07     11627.3         2281.88         1.0117          1.334           2232.77         2437.26         0.000271105     0.946934        
9300       0.0261109       1.65248e+07     11652.3         2350.24         1.0125          1.32974         2242.72         2525.89         0.000272442     0.974496        
9400       0.0257772       1.67633e+07     11677.8         2418.72         1.01331         1.3259          2253.03         2613.9          0.000273717     1.00191         
9500       0.0254482       1.70086e+07     11703.8         2486.95         1.01413         1.32247         2263.69         2701.25         0.000274942     1.02901         
9600       0.0251239       1.72606e+07     11730.2         2554.53         1.01496         1.31942         2274.7          2787.88         0.000276103     1.0558          
9700       0.0248042       1.75194e+07     11757           2621.08         1.01579         1.31673         2286.05         2873.73         0.000277209     1.08214         
9800       0.024489        1.77848e+07     11784.2         2686.19         1.01661         1.31439         2297.73         2958.77         0.000278265     1.10792         
9900       0.0241784       1.80566e+07     11811.8         2749.45         1.01742         1.31237         2309.75         3042.95         0.000279273     1.13304         
10000      0.0238724       1.83346e+07     11839.7         2810.47         1.01821         1.31065         2322.08         3126.25         0.000280235     1.15742         
10100      0.0235709       1.86186e+07     11868           2868.89         1.01898         1.3092          2334.71         3208.61         0.000281155     1.18096         
10200      0.023274        1.89083e+07     11896.5         2924.37         1.01972         1.308           2347.62         3290            0.000282038     1.20361         
10300      0.0229817       1.92034e+07     11925.3         2976.62         1.02042         1.30702         2360.81         3370.41         0.000282883     1.22529         
10400      0.0226941       1.95035e+07     11954.3         3025.4          1.02108         1.30623         2374.23         3449.81         0.000283697     1.24597         
10500      0.0224111       1.98083e+07     11983.5         3070.58         1.0217          1.30561         2387.88         3528.2          0.000284481     1.26561         
10600      0.0221329       2.01175e+07     12012.8         3112.06         1.02226         1.30512         2401.73         3605.55         0.000285235     1.2842          
10700      0.0218595       2.04306e+07     12042.2         3149.89         1.02277         1.30473         2415.74         3681.86         0.000285962     1.30174         
10800      0.0215909       2.07474e+07     12071.7         3184.21         1.02323         1.30441         2429.88         3757.12         0.000286666     1.31826         
10900      0.0213271       2.10674e+07     12101.2         3215.27         1.02362         1.30412         2444.12         3831.33         0.000287342     1.33379         
11000      0.0210682       2.13903e+07     12130.6         3243.47         1.02396         1.30383         2458.41         3904.52         0.000287991     1.3484          
11100      0.0208141       2.1716e+07      12160.1         3269.35         1.02424         1.30349         2472.72         3976.69         0.000288611     1.36215         
11200      0.0205649       2.20441e+07     12189.5         3293.56         1.02447         1.30307         2486.98         4047.87         0.0002892       1.37513         
11300      0.0203204       2.23747e+07     12218.9         3316.91         1.02465         1.30253         2501.15         4118.1          0.000289753     1.38745         
11400      0.0200806       2.27075e+07     12248.3         3340.31         1.02479         1.30182         2515.18         4187.43         0.000290267     1.39922         
11500      0.0198455       2.30428e+07     12277.5         3364.79         1.0249          1.30091         2529.02         4255.89         0.000290732     1.41057         
11600      0.0196149       2.33805e+07     12306.8         3391.51         1.02498         1.29975         2542.61         4323.56         0.000291147     1.42162         
11700      0.0193887       2.37212e+07     12336           3421.65         1.02504         1.29832         2555.91         4390.51         0.000291496     1.43251         
11800      0.0191667       2.4065e+07      12365.3         3456.48         1.02511         1.29659         2568.88         4456.8          0.000291773     1.44337         
11900      0.0189488       2.44127e+07     12394.6         3497.28         1.02518         1.29454         2581.47         4522.54         0.000291966     1.45434         
12000      0.0187347       2.47647e+07     12424.1         3545.34         1.02528         1.29217         2593.68         4587.8          0.000292064     1.46553         
12100      0.0185243       2.5122e+07      12453.7         3602.1          1.02541         1.28947         2605.47         4652.69         0.000292054     1.47717         
12200      0.0183172       2.54855e+07     12483.6         3668.55         1.02559         1.28649         2616.89         4717.32         0.00029192      1.48928         
12300      0.0181133       2.58561e+07     12513.9         3745.81         1.02584         1.28324         2627.94         4781.8          0.000291648     1.50198         
12400      0.0179123       2.6235e+07      12544.6         3834.89         1.02616         1.27979         2638.68         4846.22         0.000291225     1.51537         
12500      0.0177138       2.66235e+07     12575.8         3936.67         1.02656         1.2762          2649.17         4910.72         0.000290633     1.52953         
12600      0.0175178       2.70228e+07     12607.6         4051.87         1.02706         1.27252         2659.47         4975.38         0.000289858     1.54455         
12700      0.0173238       2.74344e+07     12640.1         4181.09         1.02767         1.26884         2669.66         5040.32         0.000288882     1.5605          
12800      0.0171316       2.78595e+07     12673.5         4324.77         1.02838         1.26521         2679.82         5105.64         0.000287681     1.57753         
12900      0.0169409       2.82998e+07     12707.7         4483.17         1.02921         1.26171         2690.04         5171.42         0.000286264     1.59554         
13000      0.0167516       2.87567e+07     12743           4656.43         1.03017         1.25841         2700.39         5237.76         0.000284609     1.61466         
13100      0.0165634       2.92316e+07     12779.4         4844.55         1.03125         1.25534         2710.96         5304.73         0.000282702     1.63493         
13200      0.0163761       2.97261e+07     12817           5047.38         1.03246         1.25256         2721.81         5372.4          0.000280534     1.65639         
13300      0.0161894       3.02415e+07     12855.9         5264.67         1.0338          1.2501          2732.99         5440.82         0.0002781       1.67906         
13400      0.0160032       3.07795e+07     12896.2         5496.07         1.03527         1.24799         2744.57         5510.04         0.000275394     1.70299         
13500      0.0158174       3.13412e+07     12938           5741.13         1.03686         1.24623         2756.59         5580.1          0.000272412     1.72819         
13600      0.0156318       3.19281e+07     12981.3         5999.35         1.03857         1.24485         2769.08         5651.02         0.000269155     1.75469         
13700      0.0154464       3.25415e+07     13026.2         6270.13         1.0404          1.24383         2782.06         5722.8          0.000265624     1.78251         
