T(K)       rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        vel(m/s)        sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
300        3.7259          -7.17314e+06    2717.6          720.432         1               1.14179         175.056         1e-06           1.64645e-05     0.0177207       
400        2.79442         -7.09517e+06    2941.16         830.539         1               1.12072         200.264         1e-06           2.13935e-05     0.0255111       
500        2.23554         -7.00828e+06    3134.75         902.51          1               1.11004         222.832         1e-06           2.62157e-05     0.0333087       
600        1.86295         -6.91542e+06    3303.91         951.523         1               1.10378         243.411         1e-06           3.09183e-05     0.0410321       
700        1.59681         -6.81848e+06    3453.28         985.235         1               1.09987         262.449         1e-06           3.54952e-05     0.0486035       
800        1.39721         -6.71871e+06    3586.48         1009.02         1               1.09729         280.24          1e-06           3.9946e-05      0.0559934       
900        1.24197         -6.61686e+06    3706.42         1027.44         1               1.09538         296.981         1e-06           4.42736e-05     0.0632371       
1000       1.11776         -6.51324e+06    3815.57         1045.16         1               1.09365         312.798         1e-06           4.84829e-05     0.0702568       
1100       1.01608         -6.4083e+06     3917.63         1058.02         1.00005         1.0927          327.926         1e-06           5.25761e-05     0.0780357       
1200       0.931028        -6.30109e+06    4010.88         1091.69         1.00031         1.09125         342.305         1e-06           5.65653e-05     0.0892731       
1300       0.85776         -6.18768e+06    4101.61         1196.44         1.00155         1.08927         356.081         1e-06           6.04725e-05     0.115197        
1400       0.790817        -6.05496e+06    4199.83         1512.22         1.00617         1.08865         369.887         1e-06           6.43577e-05     0.186826        
1500       0.722093        -5.86816e+06    4328.37         2350.19         1.02029         1.09816         386.077         1e-06           6.83669e-05     0.37366         
1600       0.639487        -5.54738e+06    4534.72         4330.32         1.05628         1.13457         409.837         1e-06           7.2786e-05      0.78839         
1700       0.53107         -4.93056e+06    4907.42         8436.67         1.12893         1.21543         450.252         1e-06           7.79816e-05     1.49044         
1800       0.405138        -3.80548e+06    5548.99         13770.5         1.20728         1.30923         517.371         1e-06           8.38333e-05     1.98358         
1900       0.309731        -2.45558e+06    6279.44         11420.1         1.15939         1.2739          595.609         1e-06           8.88601e-05     1.32651         
2000       0.262036        -1.57167e+06    6733.74         7376.99         1.0965          1.22178         652.095         1e-06           9.24241e-05     0.881191        
2100       0.227751        -777462         7120.89         8985.29         1.11735         1.25074         701.065         1e-06           9.53596e-05     1.11129         
2200       0.1956          208789          7579.46         10241.5         1.13535         1.2804          759.316         1e-06           9.79951e-05     1.21937         
2300       0.170552        1.15903e+06     8002.18         8381.31         1.10913         1.2664          818.21          1e-06           0.000100526     0.964375        
2400       0.153697        1.87133e+06     8305.69         6045.43         1.07368         1.24256         867.738         2.71884e-06     0.000103122     0.717274        
2500       0.141601        2.42284e+06     8530.93         5275.57         1.05688         1.22874         906.116         7.31745e-06     0.000105817     0.660835        
2600       0.131241        2.97683e+06     8748.11         5996.27         1.0599          1.22637         938.949         1.74387e-05     0.000108579     0.775326        
2700       0.121205        3.64064e+06     8998.49         7245.95         1.07296         1.23841         975.845         3.90582e-05     0.000111391     0.940712        
2800       0.111637        4.39418e+06     9272.49         7585.08         1.07868         1.2509          1019.2          9.08476e-05     0.000114253     0.983722        
2900       0.103388        5.11323e+06     9524.92         6642.47         1.07018         1.25515         1065.08         0.000227938     0.000117135     0.874113        
3000       0.0967598       5.70989e+06     9727.32         5300.96         1.05607         1.25896         1109.97         0.000572796     0.000119992     0.7227          
3100       0.0914479       6.18308e+06     9882.58         4227.66         1.04408         1.26814         1152.47         0.00136564      0.000122795     0.604306        
3200       0.0870424       6.56774e+06     10004.8         3517.84         1.03581         1.28132         1192.13         0.00305039      0.000125538     0.48014         
3300       0.083254        6.89472e+06     10105.4         3051.18         1.03022         1.29603         1229.25         0.00639855      0.000128236     0.436292        
3400       0.0799151       7.18214e+06     10191.2         2711.45         1.02606         1.3116          1264.74         0.0126747       0.000130896     0.403392        
3500       0.0769305       7.43902e+06     10265.7         2433.35         1.02253         1.32848         1299.54         0.023862        0.000133531     0.376147        
3600       0.0742408       7.66998e+06     10330.8         2190.92         1.01931         1.34711         1334.22         0.0429914       0.00013615      0.352663        
3700       0.0718025       7.87821e+06     10387.9         1978.85         1.01632         1.3674          1368.88         0.0746528       0.000138764     0.332599        
3800       0.0695792       8.06682e+06     10438.2         1798.87         1.0136          1.38854         1403.16         0.125777        0.000141376     0.316483        
3900       0.0675393       8.23912e+06     10482.9         1652.7          1.01122         1.40911         1436.39         0.206738        0.000143988     0.304656        
4000       0.0656551       8.39847e+06     10523.3         1539.75         1.0092          1.4274          1467.74         0.332724        0.000146598     0.297147        
4100       0.0639034       8.54809e+06     10560.2         1457.46         1.00756         1.44179         1496.42         0.52529         0.000149206     0.293633        
4200       0.0622646       8.69087e+06     10594.7         1402.35         1.00624         1.45112         1521.87         0.81389         0.000151808     0.294181        
4300       0.0607229       8.82935e+06     10627.2         1370.91         1.00523         1.45481         1543.81         1.23733         0.000154406     0.298205        
