r(m),T(K)
0.00000e+00,9.94608e+03
5.00000e-06,9.94607e+03
1.00000e-05,9.94605e+03
1.50000e-05,9.94602e+03
2.00000e-05,9.94598e+03
2.50000e-05,9.94594e+03
3.00000e-05,9.94589e+03
3.50000e-05,9.94584e+03
4.00000e-05,9.94579e+03
4.50000e-05,9.94573e+03
5.00000e-05,9.94568e+03
5.50000e-05,9.94562e+03
6.00000e-05,9.94556e+03
6.50000e-05,9.94550e+03
7.00000e-05,9.94543e+03
7.50000e-05,9.94537e+03
8.00000e-05,9.94530e+03
8.50000e-05,9.94523e+03
9.00000e-05,9.94517e+03
9.50000e-05,9.94510e+03
1.00000e-04,9.94504e+03
1.05000e-04,9.94497e+03
1.10000e-04,9.94490e+03
1.15000e-04,9.94483e+03
1.20000e-04,9.94477e+03
1.25000e-04,9.94470e+03
1.30000e-04,9.94463e+03
1.35000e-04,9.94457e+03
1.40000e-04,9.94450e+03
1.45000e-04,9.94443e+03
1.50000e-04,9.94436e+03
1.55000e-04,9.94430e+03
1.60000e-04,9.94423e+03
1.65000e-04,9.94416e+03
1.70000e-04,9.94409e+03
1.75000e-04,9.94403e+03
1.80000e-04,9.94396e+03
1.85000e-04,9.94389e+03
1.90000e-04,9.94382e+03
1.95000e-04,9.94375e+03
2.00000e-04,9.94368e+03
2.05000e-04,9.94361e+03
2.10000e-04,9.94354e+03
2.15000e-04,9.94347e+03
2.20000e-04,9.94340e+03
2.25000e-04,9.94332e+03
2.30000e-04,9.94325e+03
2.35000e-04,9.94318e+03
2.40000e-04,9.94310e+03
2.45000e-04,9.94303e+03
2.50000e-04,9.94295e+03
2.55000e-04,9.94288e+03
2.60000e-04,9.94280e+03
2.65000e-04,9.94273e+03
2.70000e-04,9.94265e+03
2.75000e-04,9.94257e+03
2.80000e-04,9.94249e+03
2.85000e-04,9.94241e+03
2.90000e-04,9.94233e+03
2.95000e-04,9.94225e+03
3.00000e-04,9.94217e+03
3.05000e-04,9.94209e+03
3.10000e-04,9.94201e+03
3.15000e-04,9.94192e+03
3.20000e-04,9.94184e+03
3.25000e-04,9.94175e+03
3.30000e-04,9.94167e+03
3.35000e-04,9.94158e+03
3.40000e-04,9.94149e+03
3.45000e-04,9.94140e+03
3.50000e-04,9.94132e+03
3.55000e-04,9.94123e+03
3.60000e-04,9.94114e+03
3.65000e-04,9.94105e+03
3.70000e-04,9.94095e+03
3.75000e-04,9.94086e+03
3.80000e-04,9.94077e+03
3.85000e-04,9.94068e+03
3.90000e-04,9.94058e+03
3.95000e-04,9.94049e+03
4.00000e-04,9.94039e+03
4.05000e-04,9.94030e+03
4.10000e-04,9.94020e+03
4.15000e-04,9.94010e+03
4.20000e-04,9.94001e+03
4.25000e-04,9.93991e+03
4.30000e-04,9.93981e+03
4.35000e-04,9.93971e+03
4.40000e-04,9.93961e+03
4.45000e-04,9.93951e+03
4.50000e-04,9.93941e+03
4.55000e-04,9.93931e+03
4.60000e-04,9.93921e+03
4.65000e-04,9.93910e+03
4.70000e-04,9.93900e+03
4.75000e-04,9.93890e+03
4.80000e-04,9.93880e+03
4.85000e-04,9.93869e+03
4.90000e-04,9.93859e+03
4.95000e-04,9.93848e+03
5.00000e-04,9.93838e+03
5.05000e-04,9.93827e+03
5.10000e-04,9.93817e+03
5.15000e-04,9.93806e+03
5.20000e-04,9.93795e+03
5.25000e-04,9.93784e+03
5.30000e-04,9.93774e+03
5.35000e-04,9.93763e+03
5.40000e-04,9.93752e+03
5.45000e-04,9.93741e+03
5.50000e-04,9.93730e+03
5.55000e-04,9.93719e+03
5.60000e-04,9.93707e+03
5.65000e-04,9.93696e+03
5.70000e-04,9.93685e+03
5.75000e-04,9.93674e+03
5.80000e-04,9.93662e+03
5.85000e-04,9.93651e+03
5.90000e-04,9.93640e+03
5.95000e-04,9.93628e+03
6.00000e-04,9.93616e+03
6.05000e-04,9.93605e+03
6.10000e-04,9.93593e+03
6.15000e-04,9.93581e+03
