r(m),T(K)
0.00000e+00,1.00235e+04
5.00000e-06,1.00235e+04
1.00000e-05,1.00234e+04
1.50000e-05,1.00234e+04
2.00000e-05,1.00233e+04
2.50000e-05,1.00233e+04
3.00000e-05,1.00232e+04
3.50000e-05,1.00231e+04
4.00000e-05,1.00231e+04
4.50000e-05,1.00230e+04
5.00000e-05,1.00230e+04
5.50000e-05,1.00229e+04
6.00000e-05,1.00228e+04
6.50000e-05,1.00228e+04
7.00000e-05,1.00227e+04
7.50000e-05,1.00226e+04
8.00000e-05,1.00226e+04
8.50000e-05,1.00225e+04
9.00000e-05,1.00225e+04
9.50000e-05,1.00224e+04
1.00000e-04,1.00223e+04
1.05000e-04,1.00223e+04
1.10000e-04,1.00222e+04
1.15000e-04,1.00221e+04
1.20000e-04,1.00221e+04
1.25000e-04,1.00220e+04
1.30000e-04,1.00219e+04
1.35000e-04,1.00219e+04
1.40000e-04,1.00218e+04
1.45000e-04,1.00217e+04
1.50000e-04,1.00217e+04
1.55000e-04,1.00216e+04
1.60000e-04,1.00215e+04
1.65000e-04,1.00214e+04
1.70000e-04,1.00214e+04
1.75000e-04,1.00213e+04
1.80000e-04,1.00212e+04
1.85000e-04,1.00211e+04
1.90000e-04,1.00211e+04
1.95000e-04,1.00210e+04
2.00000e-04,1.00209e+04
2.05000e-04,1.00208e+04
2.10000e-04,1.00207e+04
2.15000e-04,1.00207e+04
2.20000e-04,1.00206e+04
2.25000e-04,1.00205e+04
2.30000e-04,1.00204e+04
2.35000e-04,1.00203e+04
2.40000e-04,1.00203e+04
2.45000e-04,1.00202e+04
2.50000e-04,1.00201e+04
2.55000e-04,1.00200e+04
2.60000e-04,1.00199e+04
2.65000e-04,1.00198e+04
2.70000e-04,1.00198e+04
2.75000e-04,1.00197e+04
2.80000e-04,1.00196e+04
2.85000e-04,1.00195e+04
2.90000e-04,1.00194e+04
2.95000e-04,1.00193e+04
3.00000e-04,1.00192e+04
3.05000e-04,1.00191e+04
3.10000e-04,1.00190e+04
3.15000e-04,1.00190e+04
3.20000e-04,1.00189e+04
3.25000e-04,1.00188e+04
3.30000e-04,1.00187e+04
3.35000e-04,1.00186e+04
3.40000e-04,1.00185e+04
3.45000e-04,1.00184e+04
3.50000e-04,1.00183e+04
3.55000e-04,1.00182e+04
3.60000e-04,1.00181e+04
3.65000e-04,1.00180e+04
3.70000e-04,1.00179e+04
3.75000e-04,1.00178e+04
3.80000e-04,1.00177e+04
3.85000e-04,1.00176e+04
3.90000e-04,1.00175e+04
3.95000e-04,1.00174e+04
4.00000e-04,1.00173e+04
4.05000e-04,1.00172e+04
4.10000e-04,1.00171e+04
4.15000e-04,1.00170e+04
4.20000e-04,1.00169e+04
4.25000e-04,1.00168e+04
4.30000e-04,1.00167e+04
4.35000e-04,1.00166e+04
4.40000e-04,1.00165e+04
4.45000e-04,1.00164e+04
4.50000e-04,1.00162e+04
4.55000e-04,1.00161e+04
4.60000e-04,1.00160e+04
4.65000e-04,1.00159e+04
4.70000e-04,1.00158e+04
4.75000e-04,1.00157e+04
4.80000e-04,1.00156e+04
4.85000e-04,1.00155e+04
4.90000e-04,1.00153e+04
4.95000e-04,1.00152e+04
5.00000e-04,1.00151e+04
5.05000e-04,1.00150e+04
5.10000e-04,1.00149e+04
5.15000e-04,1.00148e+04
5.20000e-04,1.00146e+04
5.25000e-04,1.00145e+04
5.30000e-04,1.00144e+04
5.35000e-04,1.00143e+04
5.40000e-04,1.00142e+04
5.45000e-04,1.00140e+04
5.50000e-04,1.00139e+04
5.55000e-04,1.00138e+04
5.60000e-04,1.00137e+04
5.65000e-04,1.00135e+04
5.70000e-04,1.00134e+04
5.75000e-04,1.00133e+04
5.80000e-04,1.00132e+04
5.85000e-04,1.00130e+04
5.90000e-04,1.00129e+04
5.95000e-04,1.00128e+04
6.00000e-04,1.00127e+04
6.05000e-04,1.00125e+04
6.10000e-04,1.00124e+04
6.15000e-04,1.00123e+04
6.20000e-04,1.00121e+04
6.25000e-04,1.00120e+04
6.30000e-04,1.00119e+04
6.35000e-04,1.00117e+04
6.40000e-04,1.00116e+04
6.45000e-04,1.00115e+04
6.50000e-04,1.00113e+04
6.55000e-04,1.00112e+04
6.60000e-04,1.00110e+04
6.65000e-04,1.00109e+04
6.70000e-04,1.00108e+04
6.75000e-04,1.00106e+04
6.80000e-04,1.00105e+04
6.85000e-04,1.00103e+04
6.90000e-04,1.00102e+04
6.95000e-04,1.00101e+04
