r(m),V(m/s),T(K)
0,0,8763.9
5.03E-05,-0.0200858,8763.87
1.01E-04,-0.040113,8763.78
1.51E-04,-0.0601589,8763.63
2.01E-04,-0.0802101,8763.43
0.000251256,-0.100266,8763.16
0.000301508,-0.120326,8762.83
0.000351759,-0.140392,8762.45
0.00040201,-0.160464,8762
0.000452261,-0.180544,8761.49
0.000502513,-0.200631,8760.92
0.000552764,-0.220726,8760.28
0.000603015,-0.240832,8759.59
0.000653266,-0.260948,8758.82
0.000703518,-0.281075,8758
0.000753769,-0.301214,8757.1
0.00080402,-0.321367,8756.14
0.000854271,-0.341534,8755.11
0.000904523,-0.361716,8754.01
0.000954774,-0.381914,8752.84
0.00100503,-0.402128,8751.6
0.00105528,-0.422361,8750.28
0.00110553,-0.442612,8748.89
0.00115578,-0.462884,8747.42
0.00120603,-0.483176,8745.87
0.00125628,-0.50349,8744.23
0.00130653,-0.523826,8742.52
0.00135678,-0.544187,8740.72
0.00140704,-0.564572,8738.83
0.00145729,-0.584983,8736.85
0.00150754,-0.60542,8734.79
0.00155779,-0.625886,8732.62
0.00160804,-0.64638,8730.36
0.00165829,-0.666904,8728
0.00170854,-0.687459,8725.54
0.00175879,-0.708046,8722.97
0.00180905,-0.728665,8720.29
0.0018593,-0.749319,8717.5
0.00190955,-0.770008,8714.59
0.0019598,-0.790732,8711.56
0.00201005,-0.811494,8708.42
0.0020603,-0.832293,8705.14
0.00211055,-0.853132,8701.74
0.0021608,-0.87401,8698.2
0.00221106,-0.89493,8694.52
0.00226131,-0.915891,8690.7
0.00231156,-0.936895,8686.73
0.00236181,-0.957943,8682.61
0.00241206,-0.979036,8678.34
0.00246231,-1.00017,8673.9
0.00251256,-1.02136,8669.29
0.00256281,-1.04259,8664.51
0.00261307,-1.06387,8659.56
0.00266332,-1.0852,8654.42
0.00271357,-1.10658,8649.09
0.00276382,-1.12801,8643.56
0.00281407,-1.14949,8637.83
0.00286432,-1.17102,8631.89
0.00291457,-1.19261,8625.74
0.00296482,-1.21425,8619.36
0.00301508,-1.23594,8612.75
0.00306533,-1.25769,8605.91
0.00311558,-1.27949,8598.82
0.00316583,-1.30135,8591.47
0.00321608,-1.32327,8583.86
0.00326633,-1.34524,8575.98
0.00331658,-1.36727,8567.82
0.00336683,-1.38935,8559.37
0.00341709,-1.4115,8550.63
0.00346734,-1.4337,8541.57
0.00351759,-1.45597,8532.2
0.00356784,-1.47829,8522.49
0.00361809,-1.50068,8512.45
0.00366834,-1.52313,8502.05
0.00371859,-1.54564,8491.29
0.00376884,-1.56821,8480.16
0.0038191,-1.59085,8468.63
0.00386935,-1.61354,8456.71
0.0039196,-1.6363,8444.37
0.00396985,-1.65913,8431.6
0.0040201,-1.68201,8418.39
0.00407035,-1.70496,8404.72
0.0041206,-1.72796,8390.58
0.00417085,-1.75103,8375.95
0.00422111,-1.77416,8360.81
0.00427136,-1.79735,8345.15
0.00432161,-1.8206,8328.95
0.00437186,-1.84391,8312.2
0.00442211,-1.86729,8294.86
0.00447236,-1.89072,8276.93
0.00452261,-1.91422,8258.38
0.00457286,-1.93777,8239.19
0.00462312,-1.96137,8219.34
0.00467337,-1.98502,8198.81
0.00472362,-2.00872,8177.58
0.00477387,-2.03247,8155.62
0.00482412,-2.05627,8132.9
0.00487437,-2.08012,8109.4
0.00492462,-2.10402,8085.09
0.00497487,-2.12797,8059.94
0.00502513,-2.15197,8033.94
0.00507538,-2.176,8007.03
0.00512563,-2.20008,7979.2
0.00517588,-2.22419,7950.41
0.00522613,-2.24833,7920.62
0.00527638,-2.27251,7889.8
0.00532663,-2.29672,7857.92
0.00537688,-2.32095,7824.92
0.00542714,-2.3452,7790.78
0.00547739,-2.36947,7755.45
0.00552764,-2.39375,7718.89
0.00557789,-2.41806,7681.05
0.00562814,-2.44237,7641.88
0.00567839,-2.46669,7601.33
0.00572864,-2.49099,7559.36
0.00577889,-2.51529,7515.9
0.00582915,-2.53959,7470.9
0.0058794,-2.56387,7424.31
0.00592965,-2.58813,7376.05
0.0059799,-2.61236,7326.07
0.00603015,-2.63654,7274.31
0.0060804,-2.66068,7220.69
0.00613065,-2.68475,7165.14
0.0061809,-2.70874,7107.58
0.00623116,-2.73265,7047.96
0.00628141,-2.75646,6986.18
0.00633166,-2.78014,6922.17
0.00638191,-2.80368,6855.86
0.00643216,-2.82706,6787.15
0.00648241,-2.85026,6715.97
0.00653266,-2.87324,6642.25
0.00658291,-2.89597,6565.9
0.00663317,-2.91841,6486.85
0.00668342,-2.94054,6405.02
0.00673367,-2.9623,6320.36
0.00678392,-2.98365,6232.79
0.00683417,-3.00454,6142.27
0.00688442,-3.02492,6048.74
0.00693467,-3.04472,5952.17
0.00698492,-3.06389,5852.54
0.00703518,-3.08236,5749.82
0.00708543,-3.10007,5644.02
0.00713568,-3.11693,5535.14
0.00718593,-3.1329,5423.22
0.00723618,-3.14787,5308.29
0.00728643,-3.16178,5190.44
0.00733668,-3.17455,5069.77
0.00738693,-3.18608,4946.44
0.00743719,-3.19626,4820.71
0.00748744,-3.20502,4692.92
0.00753769,-3.21222,4563.59
0.00758794,-3.21779,4433.5
0.00763819,-3.22172,4303.68
0.00768844,-3.2241,4175.49
0.00773869,-3.22496,4050.51
0.00778894,-3.22426,3930.33
0.0078392,-3.22175,3816.25
0.00788945,-3.21706,3709
0.0079397,-3.21022,3608.69
0.00798995,-3.20116,3515.01
0.0080402,-3.19045,3427.46
0.00809045,-3.17833,3345.65
0.0081407,-3.16536,3269.41
0.00819095,-3.15176,3198.81
0.00824121,-3.13762,3134.05
0.00829146,-3.12305,3075.14
0.00834171,-3.10767,3021.82
0.00839196,-3.09194,2973.48
0.00844221,-3.07556,2929.31
0.00849246,-3.05883,2888.35
0.00854271,-3.04208,2849.71
0.00859296,-3.02533,2812.5
0.00864322,-3.00833,2775.85
0.00869347,-2.99138,2738.83
0.00874372,-2.97456,2700.54
0.00879397,-2.95726,2660
0.00884422,-2.93902,2616.18
0.00889447,-2.91954,2568.53
0.00894472,-2.89949,2517.75
0.00899497,-2.88139,2466.3
0.00904523,-2.86478,2417.6
0.00909548,-2.84741,2374.01
0.00914573,-2.82668,2335.94
0.00919598,-2.80388,2302.49
0.00924623,-2.77949,2272.54
0.00929648,-2.75327,2245.23
0.00934673,-2.72512,2219.87
0.00939698,-2.69477,2195.94
0.00944724,-2.66178,2173.04
0.00949749,-2.62636,2150.93
0.00954774,-2.58854,2129.51
0.00959799,-2.54856,2108.8
0.00964824,-2.50679,2088.93
0.00969849,-2.46365,2070.14
0.00974874,-2.41972,2052.85
0.00979899,-2.37597,2037.53
0.00984925,-2.33355,2024.56
0.0098995,-2.29362,2014.08
0.00994975,-2.2571,2005.98
0.01,-2.22414,2000
