r(m),T(K)
0,8768.27
2.00E-05,8768.27
4.01E-05,8768.26
6.01E-05,8768.24
8.02E-05,8768.21
0.0001002,8768.17
0.00012024,8768.13
0.000140281,8768.08
0.000160321,8768.02
0.000180361,8767.95
0.000200401,8767.88
0.000220441,8767.8
0.000240481,8767.71
0.000260521,8767.61
0.000280561,8767.5
0.000300601,8767.39
0.000320641,8767.26
0.000340681,8767.13
0.000360721,8766.99
0.000380762,8766.85
0.000400802,8766.69
0.000420842,8766.53
0.000440882,8766.36
0.000460922,8766.18
0.000480962,8765.99
0.000501002,8765.8
0.000521042,8765.59
0.000541082,8765.38
0.000561122,8765.16
0.000581162,8764.93
0.000601202,8764.69
0.000621242,8764.45
0.000641283,8764.19
0.000661323,8763.93
0.000681363,8763.65
0.000701403,8763.37
0.000721443,8763.08
0.000741483,8762.79
0.000761523,8762.48
0.000781563,8762.16
0.000801603,8761.84
0.000821643,8761.5
0.000841683,8761.16
0.000861723,8760.81
0.000881764,8760.45
0.000901804,8760.08
0.000921844,8759.7
0.000941884,8759.31
0.000961924,8758.91
0.000981964,8758.5
0.001002,8758.08
0.00102204,8757.66
0.00104208,8757.22
0.00106212,8756.77
0.00108216,8756.32
0.0011022,8755.85
0.00112224,8755.37
0.00114228,8754.88
0.00116232,8754.39
0.00118236,8753.88
0.0012024,8753.36
0.00122244,8752.83
0.00124248,8752.29
0.00126253,8751.74
0.00128257,8751.18
0.00130261,8750.61
0.00132265,8750.03
0.00134269,8749.44
0.00136273,8748.83
0.00138277,8748.21
0.00140281,8747.59
0.00142285,8746.95
0.00144289,8746.3
0.00146293,8745.63
0.00148297,8744.96
0.00150301,8744.27
0.00152305,8743.57
0.00154309,8742.86
0.00156313,8742.14
0.00158317,8741.4
0.00160321,8740.66
0.00162325,8739.89
0.00164329,8739.12
0.00166333,8738.33
0.00168337,8737.53
0.00170341,8736.72
0.00172345,8735.89
0.00174349,8735.05
0.00176353,8734.2
0.00178357,8733.33
0.00180361,8732.45
0.00182365,8731.55
0.00184369,8730.64
0.00186373,8729.72
0.00188377,8728.78
0.00190381,8727.82
0.00192385,8726.85
0.00194389,8725.87
0.00196393,8724.86
0.00198397,8723.85
0.00200401,8722.82
0.00202405,8721.77
0.00204409,8720.71
0.00206413,8719.63
0.00208417,8718.53
0.00210421,8717.42
0.00212425,8716.29
0.00214429,8715.14
0.00216433,8713.97
0.00218437,8712.79
0.00220441,8711.59
0.00222445,8710.38
0.00224449,8709.14
0.00226453,8707.89
0.00228457,8706.61
0.00230461,8705.32
0.00232465,8704.01
0.00234469,8702.68
0.00236473,8701.34
0.00238477,8699.97
0.00240481,8698.58
0.00242485,8697.17
0.00244489,8695.74
0.00246493,8694.29
0.00248497,8692.82
0.00250501,8691.33
0.00252505,8689.82
0.00254509,8688.29
0.00256513,8686.73
0.00258517,8685.15
0.00260521,8683.55
0.00262525,8681.93
0.00264529,8680.28
0.00266533,8678.61
0.00268537,8676.92
0.00270541,8675.2
0.00272545,8673.46
0.00274549,8671.69
0.00276553,8669.9
0.00278557,8668.08
0.00280561,8666.24
0.00282565,8664.37
0.00284569,8662.48
0.00286573,8660.56
0.00288577,8658.61
0.00290581,8656.64
0.00292585,8654.64
0.00294589,8652.61
0.00296593,8650.55
0.00298597,8648.47
0.00300601,8646.35
0.00302605,8644.21
0.00304609,8642.04
0.00306613,8639.83
0.00308617,8637.6
0.00310621,8635.34
0.00312625,8633.04
0.00314629,8630.71
0.00316633,8628.36
0.00318637,8625.96
0.00320641,8623.54
0.00322645,8621.08
0.00324649,8618.59
0.00326653,8616.07
0.00328657,8613.51
0.00330661,8610.92
0.00332665,8608.29
0.00334669,8605.63
0.00336673,8602.93
0.00338677,8600.19
0.00340681,8597.42
0.00342685,8594.6
0.00344689,8591.75
0.00346693,8588.87
0.00348697,8585.94
0.00350701,8582.97
0.00352705,8579.97
0.00354709,8576.92
0.00356713,8573.83
0.00358717,8570.7
0.00360721,8567.53
0.00362725,8564.31
0.00364729,8561.06
0.00366733,8557.75
0.00368737,8554.41
