r(m),T(K)
0,7544.63
2.00E-05,7544.62
4.01E-05,7544.59
6.01E-05,7544.55
8.02E-05,7544.49
0.0001002,7544.4
0.00012024,7544.31
0.000140281,7544.19
0.000160321,7544.06
0.000180361,7543.9
0.000200401,7543.73
0.000220441,7543.55
0.000240481,7543.34
0.000260521,7543.11
0.000280561,7542.87
0.000300601,7542.61
0.000320641,7542.33
0.000340681,7542.04
0.000360721,7541.72
0.000380762,7541.39
0.000400802,7541.04
0.000420842,7540.67
0.000440882,7540.28
0.000460922,7539.87
0.000480962,7539.45
0.000501002,7539.01
0.000521042,7538.55
0.000541082,7538.07
0.000561122,7537.57
0.000581162,7537.05
0.000601202,7536.51
0.000621242,7535.96
0.000641283,7535.39
0.000661323,7534.79
0.000681363,7534.18
0.000701403,7533.55
0.000721443,7532.9
0.000741483,7532.24
0.000761523,7531.55
0.000781563,7530.84
0.000801603,7530.12
0.000821643,7529.37
0.000841683,7528.61
0.000861723,7527.83
0.000881764,7527.02
0.000901804,7526.2
0.000921844,7525.36
0.000941884,7524.5
0.000961924,7523.62
0.000981964,7522.72
0.001002,7521.79
0.00102204,7520.85
0.00104208,7519.89
0.00106212,7518.91
0.00108216,7517.91
0.0011022,7516.88
0.00112224,7515.84
0.00114228,7514.78
0.00116232,7513.69
0.00118236,7512.59
0.0012024,7511.46
0.00122244,7510.31
0.00124248,7509.14
0.00126253,7507.95
0.00128257,7506.74
0.00130261,7505.51
0.00132265,7504.25
0.00134269,7502.98
0.00136273,7501.68
0.00138277,7500.36
0.00140281,7499.02
0.00142285,7497.65
0.00144289,7496.27
0.00146293,7494.86
0.00148297,7493.43
0.00150301,7491.97
0.00152305,7490.49
0.00154309,7488.99
0.00156313,7487.47
0.00158317,7485.92
0.00160321,7484.35
0.00162325,7482.76
0.00164329,7481.14
0.00166333,7479.5
0.00168337,7477.84
0.00170341,7476.15
0.00172345,7474.43
0.00174349,7472.7
0.00176353,7470.93
0.00178357,7469.14
0.00180361,7467.33
0.00182365,7465.49
0.00184369,7463.63
0.00186373,7461.74
