r(m),T(K)
0.00509018,5735.87
0.00511022,5724.42
0.00513026,5712.88
0.0051503,5701.25
0.00517034,5689.53
0.00519038,5677.72
0.00521042,5665.83
0.00523046,5653.84
0.0052505,5641.77
0.00527054,5629.6
0.00529058,5617.34
0.00531062,5604.99
0.00533066,5592.55
0.0053507,5580.02
0.00537074,5567.39
0.00539078,5554.67
0.00541082,5541.85
0.00543086,5528.94
0.0054509,5515.93
0.00547094,5502.82
0.00549098,5489.62
0.00551102,5476.32
0.00553106,5462.92
0.0055511,5449.43
0.00557114,5435.83
0.00559118,5422.14
0.00561122,5408.34
0.00563126,5394.45
0.0056513,5380.45
0.00567134,5366.35
0.00569138,5352.15
0.00571142,5337.84
0.00573146,5323.44
0.0057515,5308.92
0.00577154,5294.31
0.00579158,5279.58
0.00581162,5264.75
0.00583166,5249.82
0.0058517,5234.78
0.00587174,5219.63
0.00589178,5204.37
0.00591182,5189.01
0.00593186,5173.53
0.0059519,5157.95
0.00597194,5142.25
0.00599198,5126.45
0.00601202,5110.54
0.00603206,5094.51
0.0060521,5078.37
0.00607214,5062.12
0.00609218,5045.76
0.00611222,5029.29
0.00613226,5012.7
0.0061523,4996
0.00617234,4979.19
0.00619238,4962.26
0.00621242,4945.22
0.00623246,4928.06
0.00625251,4910.79
0.00627255,4893.41
0.00629259,4875.91
0.00631263,4858.3
0.00633267,4840.57
0.00635271,4822.73
0.00637275,4804.78
0.00639279,4786.71
0.00641283,4768.53
0.00643287,4750.23
0.00645291,4731.83
0.00647295,4713.31
0.00649299,4694.68
0.00651303,4675.94
0.00653307,4657.1
0.00655311,4638.14
0.00657315,4619.08
0.00659319,4599.91
0.00661323,4580.65
0.00663327,4561.28
0.00665331,4541.8
0.00667335,4522.24
0.00669339,4502.57
0.00671343,4482.82
0.00673347,4462.97
0.00675351,4443.04
0.00677355,4423.03
0.00679359,4402.93
0.00681363,4382.76
0.00683367,4362.52
0.00685371,4342.21
0.00687375,4321.84
0.00689379,4301.41
0.00691383,4280.93
0.00693387,4260.4
0.00695391,4239.83
0.00697395,4219.23
0.00699399,4198.6
0.00701403,4177.95
0.00703407,4157.28
0.00705411,4136.61
0.00707415,4115.93
0.00709419,4095.27
0.00711423,4074.62
0.00713427,4053.99
0.00715431,4033.4
0.00717435,4012.84
0.00719439,3992.34
0.00721443,3971.88
0.00723447,3951.49
0.00725451,3931.17
0.00727455,3910.93
0.00729459,3890.76
0.00731463,3870.69
0.00733467,3850.71
0.00735471,3830.83
0.00737475,3811.06
0.00739479,3791.4
0.00741483,3771.85
