r(m),V(m/s),T(K)
0,0,6487.45
5.03E-05,-0.00905641,6487.29
0.000100503,-0.0178863,6486.82
0.000150754,-0.0267836,6486.04
0.000201005,-0.0356954,6484.95
0.000251256,-0.0446159,6483.55
0.000301508,-0.0535445,6481.84
0.000351759,-0.0624814,6479.81
0.00040201,-0.0714275,6477.47
0.000452261,-0.0803838,6474.81
0.000502513,-0.0893513,6471.83
0.000552764,-0.0983311,6468.54
0.000603015,-0.107324,6464.93
0.000653266,-0.116332,6461
0.000703518,-0.125356,6456.75
0.000753769,-0.134396,6452.17
0.00080402,-0.143455,6447.27
0.000854271,-0.152533,6442.04
0.000904523,-0.161631,6436.48
0.000954774,-0.17075,6430.59
0.00100503,-0.179892,6424.36
0.00105528,-0.189057,6417.8
0.00110553,-0.198247,6410.9
0.00115578,-0.207463,6403.66
0.00120603,-0.216706,6396.08
0.00125628,-0.225976,6388.14
0.00130653,-0.235275,6379.86
0.00135678,-0.244604,6371.22
0.00140704,-0.253965,6362.22
0.00145729,-0.263358,6352.87
0.00150754,-0.272785,6343.15
0.00155779,-0.282246,6333.06
0.00160804,-0.291744,6322.6
0.00165829,-0.301278,6311.76
0.00170854,-0.310851,6300.55
0.00175879,-0.320462,6288.94
0.00180905,-0.330114,6276.95
0.0018593,-0.339806,6264.57
0.00190955,-0.34954,6251.79
0.0019598,-0.359315,6238.6
0.00201005,-0.369132,6225.01
0.0020603,-0.378993,6211
0.00211055,-0.388896,6196.57
0.0021608,-0.398843,6181.72
0.00221106,-0.408835,6166.44
0.00226131,-0.418873,6150.72
0.00231156,-0.428957,6134.56
0.00236181,-0.43909,6117.96
0.00241206,-0.449272,6100.9
0.00246231,-0.459503,6083.38
0.00251256,-0.469785,6065.4
0.00256281,-0.480116,6046.94
0.00261307,-0.490497,6028
0.00266332,-0.500926,6008.58
0.00271357,-0.511404,5988.66
0.00276382,-0.521931,5968.24
0.00281407,-0.532507,5947.32
0.00286432,-0.543133,5925.88
0.00291457,-0.553809,5903.92
0.00296482,-0.564537,5881.43
0.00301508,-0.575315,5858.4
0.00306533,-0.586142,5834.82
