T(K)            rho(kg/m3)      h(J/kg)         s(J/K/kg)       Cp(J/K/kg)      p*kappa_T(1)    gamma(1)        V(m/s)          sigma(S/m)      eta(kg/m/s)     kappa(W/m/K)    
28700.00        0.00397663      1.71731e+08     20163.9         10036.6         1.0337          1.24888         5511.96         12982.4         1.61648e-05     5.14876         
28800.00        0.00395531      1.72748e+08     20199.3         10334.1         1.03486         1.24783         5521.36         12995.2         1.61019e-05     5.18116         
28900.00        0.00393392      1.73795e+08     20235.6         10640.1         1.03607         1.24694         5531.14         13006.9         1.60344e-05     5.21358         
29000.00        0.00391244      1.74874e+08     20272.8         10954.2         1.03732         1.24619         5541.31         13017.5         1.59623e-05     5.24599         
29100.00        0.00389087      1.75984e+08     20311           11276.1         1.03861         1.2456          5551.87         13026.9         1.58852e-05     5.2784          
29200.00        0.00386921      1.77127e+08     20350.2         11605.5         1.03994         1.24515         5562.82         13035.2         1.58037e-05     5.3108          
29300.00        0.00384746      1.78303e+08     20390.4         11941.9         1.04131         1.24485         5574.18         13042.4         1.57175e-05     5.3432          
29400.00        0.00382562      1.79513e+08     20431.6         12284.8         1.04271         1.24468         5585.93         13048.5         1.56267e-05     5.3756          
29500.00        0.00380368      1.80758e+08     20473.8         12634           1.04415         1.24465         5598.09         13053.6         1.55311e-05     5.40798         
29600.00        0.00378165      1.82037e+08     20517.1         12988.7         1.04561         1.24474         5610.65         13057.7         1.5431e-05      5.44036         
29700.00        0.00375952      1.83353e+08     20561.5         13348.5         1.0471          1.24496         5623.62         13060.7         1.53263e-05     5.47271         
29800.00        0.0037373       1.84705e+08     20606.9         13712.8         1.04862         1.24529         5636.98         13062.7         1.52171e-05     5.50504         
29900.00        0.00371499      1.86093e+08     20653.4         14080.9         1.05016         1.24573         5650.74         13063.8         1.51036e-05     5.53734         
30000.00        0.00369259      1.87518e+08     20701           14452.3         1.05172         1.24628         5664.9          13064           1.49859e-05     5.56961         
