r(cm),U(V),Ne(m^-3)
0,-10000,5.17E+15
1.00E-03,-9993.75,5.17E+15
2.00E-03,-9987.48,5.17E+15
3.00E-03,-9981.21,5.17E+15
4.00E-03,-9974.94,5.17E+15
0.00500501,-9968.65,5.18E+15
0.00600601,-9962.36,5.18E+15
0.00700701,-9956.06,5.18E+15
0.00800801,-9949.75,5.19E+15
0.00900901,-9943.43,5.19E+15
0.01001,-9937.11,5.20E+15
0.011011,-9930.78,5.20E+15
0.012012,-9924.44,5.21E+15
0.013013,-9918.1,5.21E+15
0.014014,-9911.74,5.22E+15
0.015015,-9905.38,5.23E+15
0.016016,-9899.01,5.24E+15
0.017017,-9892.64,5.25E+15
0.018018,-9886.25,5.25E+15
0.019019,-9879.86,5.26E+15
0.02002,-9873.46,5.27E+15
0.021021,-9867.05,5.28E+15
0.022022,-9860.64,5.29E+15
0.023023,-9854.22,5.30E+15
0.024024,-9847.79,5.31E+15
0.025025,-9841.35,5.32E+15
0.026026,-9834.9,5.33E+15
0.027027,-9828.45,5.34E+15
0.028028,-9821.99,5.35E+15
0.029029,-9815.52,5.36E+15
0.03003,-9809.04,5.37E+15
0.031031,-9802.55,5.38E+15
0.032032,-9796.06,5.39E+15
0.033033,-9789.56,5.41E+15
0.034034,-9783.05,5.42E+15
0.035035,-9776.53,5.43E+15
0.036036,-9770,5.44E+15
0.037037,-9763.47,5.45E+15
0.038038,-9756.93,5.46E+15
0.039039,-9750.38,5.47E+15
0.04004,-9743.82,5.48E+15
0.041041,-9737.25,5.49E+15
0.042042,-9730.68,5.50E+15
0.043043,-9724.1,5.52E+15
0.044044,-9717.51,5.53E+15
0.045045,-9710.91,5.54E+15
0.046046,-9704.3,5.55E+15
0.047047,-9697.68,5.56E+15
0.048048,-9691.06,5.57E+15
0.049049,-9684.43,5.58E+15
0.0500501,-9677.79,5.59E+15
0.0510511,-9671.14,5.60E+15
0.0520521,-9664.48,5.61E+15
0.0530531,-9657.82,5.62E+15
0.0540541,-9651.14,5.64E+15
0.0550551,-9644.46,5.65E+15
0.0560561,-9637.77,5.66E+15
0.0570571,-9631.07,5.67E+15
0.0580581,-9624.36,5.68E+15
0.0590591,-9617.65,5.69E+15
0.0600601,-9610.92,5.70E+15
0.0610611,-9604.19,5.71E+15
0.0620621,-9597.45,5.72E+15
0.0630631,-9590.7,5.73E+15
0.0640641,-9583.94,5.74E+15
0.0650651,-9577.17,5.75E+15
0.0660661,-9570.39,5.76E+15
0.0670671,-9563.61,5.77E+15
0.0680681,-9556.81,5.78E+15
0.0690691,-9550.01,5.79E+15
0.0700701,-9543.2,5.80E+15
0.0710711,-9536.38,5.81E+15
0.0720721,-9529.55,5.82E+15
0.0730731,-9522.71,5.83E+15
0.0740741,-9515.87,5.84E+15
0.0750751,-9509.01,5.85E+15
0.0760761,-9502.15,5.86E+15
0.0770771,-9495.27,5.87E+15
0.0780781,-9488.39,5.88E+15
0.0790791,-9481.5,5.89E+15
0.0800801,-9474.6,5.90E+15
0.0810811,-9467.69,5.91E+15
0.0820821,-9460.78,5.92E+15
0.0830831,-9453.85,5.93E+15
0.0840841,-9446.91,5.94E+15
0.0850851,-9439.97,5.95E+15
0.0860861,-9433.01,5.96E+15
0.0870871,-9426.05,5.97E+15
0.0880881,-9419.08,5.98E+15
0.0890891,-9412.1,5.99E+15
0.0900901,-9405.11,6.00E+15
0.0910911,-9398.11,6.01E+15
0.0920921,-9391.1,6.02E+15
0.0930931,-9384.08,6.03E+15
0.0940941,-9377.05,6.03E+15
0.0950951,-9370.02,6.04E+15
0.0960961,-9362.97,6.05E+15
0.0970971,-9355.92,6.06E+15
0.0980981,-9348.85,6.07E+15
0.0990991,-9341.78,6.08E+15
0.1001,-9334.7,6.09E+15
0.101101,-9327.6,6.10E+15
0.102102,-9320.5,6.11E+15
0.103103,-9313.39,6.12E+15
0.104104,-9306.27,6.12E+15
0.105105,-9299.14,6.13E+15
0.106106,-9292,6.14E+15
0.107107,-9284.85,6.15E+15
0.108108,-9277.7,6.16E+15
0.109109,-9270.53,6.17E+15
0.11011,-9263.35,6.18E+15
0.111111,-9256.16,6.18E+15
0.112112,-9248.97,6.19E+15
0.113113,-9241.76,6.20E+15
0.114114,-9234.55,6.21E+15
0.115115,-9227.32,6.22E+15
0.116116,-9220.09,6.23E+15
0.117117,-9212.84,6.23E+15
0.118118,-9205.59,6.24E+15
0.119119,-9198.32,6.25E+15
0.12012,-9191.05,6.26E+15
0.121121,-9183.77,6.26E+15
0.122122,-9176.48,6.27E+15
0.123123,-9169.17,6.28E+15
0.124124,-9161.86,6.29E+15
0.125125,-9154.54,6.30E+15
0.126126,-9147.21,6.30E+15
0.127127,-9139.87,6.31E+15
0.128128,-9132.51,6.32E+15
0.129129,-9125.15,6.33E+15
0.13013,-9117.78,6.33E+15
0.131131,-9110.4,6.34E+15
0.132132,-9103.01,6.35E+15
0.133133,-9095.61,6.35E+15
0.134134,-9088.2,6.36E+15
