r(cm)          U(V)           Ne(m^-3)       
0.156156       -8438.44       8.23771e+14    
0.157157       -8428.43       8.21709e+14    
0.158158       -8418.42       8.19639e+14    
0.159159       -8408.41       8.17561e+14    
0.16016        -8398.4        8.15476e+14    
0.161161       -8388.39       8.13383e+14    
0.162162       -8378.38       8.11282e+14    
0.163163       -8368.37       8.09174e+14    
0.164164       -8358.36       8.07058e+14    
0.165165       -8348.35       8.04935e+14    
0.166166       -8338.34       8.02805e+14    
0.167167       -8328.33       8.00668e+14    
0.168168       -8318.32       7.98523e+14    
0.169169       -8308.31       7.96372e+14    
0.17017        -8298.3        7.94213e+14    
0.171171       -8288.29       7.92048e+14    
0.172172       -8278.28       7.89876e+14    
0.173173       -8268.27       7.87697e+14    
0.174174       -8258.26       7.85512e+14    
0.175175       -8248.25       7.83321e+14    
0.176176       -8238.24       7.81122e+14    
0.177177       -8228.23       7.78918e+14    
0.178178       -8218.22       7.76708e+14    
0.179179       -8208.21       7.74491e+14    
0.18018        -8198.2        7.72268e+14    
0.181181       -8188.19       7.70039e+14    
0.182182       -8178.18       7.67805e+14    
0.183183       -8168.17       7.65565e+14    
0.184184       -8158.16       7.63319e+14    
0.185185       -8148.15       7.61067e+14    
0.186186       -8138.14       7.5881e+14     
0.187187       -8128.13       7.56548e+14    
0.188188       -8118.12       7.5428e+14     
0.189189       -8108.11       7.52007e+14    
0.19019        -8098.1        7.49729e+14    
0.191191       -8088.09       7.47446e+14    
0.192192       -8078.08       7.45157e+14    
0.193193       -8068.07       7.42864e+14    
0.194194       -8058.06       7.40566e+14    
0.195195       -8048.05       7.38264e+14    
0.196196       -8038.04       7.35957e+14    
0.197197       -8028.03       7.33645e+14    
0.198198       -8018.02       7.31329e+14    
0.199199       -8008.01       7.29008e+14    
0.2002         -7998          7.26684e+14    
0.201201       -7987.99       7.24355e+14    
0.202202       -7977.98       7.22022e+14    
0.203203       -7967.97       7.19685e+14    
0.204204       -7957.96       7.17344e+14    
0.205205       -7947.95       7.14999e+14    
0.206206       -7937.94       7.12651e+14    
0.207207       -7927.93       7.10299e+14    
0.208208       -7917.92       7.07943e+14    
0.209209       -7907.91       7.05584e+14    
0.21021        -7897.9        7.03221e+14    
0.211211       -7887.89       7.00855e+14    
0.212212       -7877.88       6.98486e+14    
0.213213       -7867.87       6.96114e+14    
0.214214       -7857.86       6.93739e+14    
0.215215       -7847.85       6.91361e+14    
0.216216       -7837.84       6.8898e+14     
0.217217       -7827.83       6.86596e+14    
0.218218       -7817.82       6.8421e+14     
0.219219       -7807.81       6.81821e+14    
0.22022        -7797.8        6.79429e+14    
0.221221       -7787.79       6.77035e+14    
0.222222       -7777.78       6.74638e+14    
0.223223       -7767.77       6.7224e+14     
0.224224       -7757.76       6.69839e+14    
0.225225       -7747.75       6.67436e+14    
0.226226       -7737.74       6.65031e+14    
0.227227       -7727.73       6.62624e+14    
0.228228       -7717.72       6.60215e+14    
0.229229       -7707.71       6.57805e+14    
0.23023        -7697.7        6.55393e+14    
0.231231       -7687.69       6.52979e+14    
0.232232       -7677.68       6.50564e+14    
0.233233       -7667.67       6.48147e+14    
0.234234       -7657.66       6.45729e+14    
0.235235       -7647.65       6.4331e+14     
0.236236       -7637.64       6.40889e+14    
0.237237       -7627.63       6.38467e+14    
0.238238       -7617.62       6.36045e+14    
0.239239       -7607.61       6.33621e+14    
0.24024        -7597.6        6.31197e+14    
0.241241       -7587.59       6.28772e+14    
0.242242       -7577.58       6.26346e+14    
0.243243       -7567.57       6.23919e+14    
0.244244       -7557.56       6.21492e+14    
0.245245       -7547.55       6.19065e+14    
0.246246       -7537.54       6.16637e+14    
0.247247       -7527.53       6.14209e+14    
0.248248       -7517.52       6.11781e+14    
0.249249       -7507.51       6.09352e+14    
0.25025        -7497.5        6.06924e+14    
0.251251       -7487.49       6.04495e+14    
0.252252       -7477.48       6.02067e+14    
0.253253       -7467.47       5.99638e+14    
0.254254       -7457.46       5.9721e+14     
0.255255       -7447.45       5.94783e+14    
0.256256       -7437.44       5.92355e+14    
0.257257       -7427.43       5.89929e+14    
0.258258       -7417.42       5.87502e+14    
0.259259       -7407.41       5.85077e+14    
0.26026        -7397.4        5.82652e+14    
0.261261       -7387.39       5.80228e+14    
0.262262       -7377.38       5.77804e+14    
0.263263       -7367.37       5.75382e+14    
0.264264       -7357.36       5.72961e+14    
0.265265       -7347.35       5.70541e+14    
0.266266       -7337.34       5.68121e+14    
0.267267       -7327.33       5.65704e+14    
0.268268       -7317.32       5.63287e+14    
0.269269       -7307.31       5.60872e+14    
0.27027        -7297.3        5.58458e+14    
0.271271       -7287.29       5.56046e+14    
0.272272       -7277.28       5.53635e+14    
0.273273       -7267.27       5.51226e+14    
0.274274       -7257.26       5.48819e+14    
0.275275       -7247.25       5.46413e+14    
0.276276       -7237.24       5.44009e+14    
0.277277       -7227.23       5.41608e+14    
0.278278       -7217.22       5.39208e+14    
0.279279       -7207.21       5.3681e+14     
0.28028        -7197.2        5.34415e+14    
0.281281       -7187.19       5.32021e+14    
0.282282       -7177.18       5.2963e+14     
0.283283       -7167.17       5.27241e+14    
0.284284       -7157.16       5.24855e+14    
0.285285       -7147.15       5.22471e+14    
0.286286       -7137.14       5.2009e+14     
0.287287       -7127.13       5.17711e+14    
0.288288       -7117.12       5.15335e+14    
0.289289       -7107.11       5.12961e+14    
0.29029        -7097.1        5.10591e+14    
0.291291       -7087.09       5.08223e+14    
0.292292       -7077.08       5.05858e+14    
0.293293       -7067.07       5.03496e+14    
0.294294       -7057.06       5.01137e+14    
0.295295       -7047.05       4.98781e+14    
0.296296       -7037.04       4.96429e+14    
0.297297       -7027.03       4.94079e+14    
0.298298       -7017.02       4.91733e+14    
0.299299       -7007.01       4.8939e+14     
0.3003         -6997          4.87051e+14    
0.301301       -6986.99       4.84715e+14    
0.302302       -6976.98       4.82382e+14    
