r(cm),U(V),Ne(m^-3)
0.173173,-8268.27,7.88E+14
0.174174,-8258.26,7.86E+14
0.175175,-8248.25,7.83E+14
0.176176,-8238.24,7.81E+14
0.177177,-8228.23,7.79E+14
0.178178,-8218.22,7.77E+14
0.179179,-8208.21,7.74E+14
0.18018,-8198.2,7.72E+14
0.181181,-8188.19,7.70E+14
0.182182,-8178.18,7.68E+14
0.183183,-8168.17,7.66E+14
0.184184,-8158.16,7.63E+14
0.185185,-8148.15,7.61E+14
0.186186,-8138.14,7.59E+14
0.187187,-8128.13,7.57E+14
0.188188,-8118.12,7.54E+14
0.189189,-8108.11,7.52E+14
0.19019,-8098.1,7.50E+14
0.191191,-8088.09,7.47E+14
0.192192,-8078.08,7.45E+14
0.193193,-8068.07,7.43E+14
0.194194,-8058.06,7.41E+14
0.195195,-8048.05,7.38E+14
0.196196,-8038.04,7.36E+14
0.197197,-8028.03,7.34E+14
0.198198,-8018.02,7.31E+14
0.199199,-8008.01,7.29E+14
0.2002,-7998,7.27E+14
0.201201,-7987.99,7.24E+14
0.202202,-7977.98,7.22E+14
0.203203,-7967.97,7.20E+14
0.204204,-7957.96,7.17E+14
0.205205,-7947.95,7.15E+14
0.206206,-7937.94,7.13E+14
0.207207,-7927.93,7.10E+14
0.208208,-7917.92,7.08E+14
0.209209,-7907.91,7.06E+14
0.21021,-7897.9,7.03E+14
0.211211,-7887.89,7.01E+14
0.212212,-7877.88,6.98E+14
0.213213,-7867.87,6.96E+14
0.214214,-7857.86,6.94E+14
0.215215,-7847.85,6.91E+14
0.216216,-7837.84,6.89E+14
0.217217,-7827.83,6.87E+14
0.218218,-7817.82,6.84E+14
0.219219,-7807.81,6.82E+14
0.22022,-7797.8,6.79E+14
0.221221,-7787.79,6.77E+14
0.222222,-7777.78,6.75E+14
0.223223,-7767.77,6.72E+14
0.224224,-7757.76,6.70E+14
0.225225,-7747.75,6.67E+14
0.226226,-7737.74,6.65E+14
0.227227,-7727.73,6.63E+14
0.228228,-7717.72,6.60E+14
0.229229,-7707.71,6.58E+14
0.23023,-7697.7,6.55E+14
0.231231,-7687.69,6.53E+14
0.232232,-7677.68,6.51E+14
0.233233,-7667.67,6.48E+14
0.234234,-7657.66,6.46E+14
0.235235,-7647.65,6.43E+14
0.236236,-7637.64,6.41E+14
0.237237,-7627.63,6.38E+14
0.238238,-7617.62,6.36E+14
