r(cm)          U(V)           Ne(m^-3)       
0.156156       -8922.62       6.50165e+15    
0.157157       -8914.97       6.50725e+15    
0.158158       -8907.32       6.51277e+15    
0.159159       -8899.66       6.51822e+15    
0.16016        -8891.98       6.5236e+15     
0.161161       -8884.3        6.52891e+15    
0.162162       -8876.6        6.53415e+15    
0.163163       -8868.9        6.53931e+15    
0.164164       -8861.18       6.5444e+15     
0.165165       -8853.45       6.54942e+15    
0.166166       -8845.72       6.55437e+15    
0.167167       -8837.97       6.55924e+15    
0.168168       -8830.21       6.56403e+15    
0.169169       -8822.45       6.56875e+15    
0.17017        -8814.67       6.5734e+15     
0.171171       -8806.88       6.57797e+15    
0.172172       -8799.08       6.58246e+15    
0.173173       -8791.27       6.58687e+15    
0.174174       -8783.45       6.59121e+15    
0.175175       -8775.62       6.59547e+15    
0.176176       -8767.78       6.59965e+15    
0.177177       -8759.93       6.60376e+15    
0.178178       -8752.07       6.60778e+15    
0.179179       -8744.19       6.61172e+15    
0.18018        -8736.31       6.61559e+15    
0.181181       -8728.42       6.61937e+15    
0.182182       -8720.51       6.62307e+15    
0.183183       -8712.6        6.6267e+15     
0.184184       -8704.67       6.63023e+15    
0.185185       -8696.74       6.63369e+15    
0.186186       -8688.79       6.63707e+15    
0.187187       -8680.83       6.64036e+15    
0.188188       -8672.86       6.64357e+15    
0.189189       -8664.88       6.64669e+15    
0.19019        -8656.9        6.64973e+15    
0.191191       -8648.9        6.65269e+15    
0.192192       -8640.88       6.65556e+15    
0.193193       -8632.86       6.65834e+15    
0.194194       -8624.83       6.66104e+15    
0.195195       -8616.79       6.66365e+15    
0.196196       -8608.73       6.66617e+15    
0.197197       -8600.67       6.66861e+15    
0.198198       -8592.6        6.67096e+15    
0.199199       -8584.51       6.67322e+15    
0.2002         -8576.41       6.6754e+15     
0.201201       -8568.31       6.67748e+15    
0.202202       -8560.19       6.67948e+15    
0.203203       -8552.06       6.68138e+15    
0.204204       -8543.92       6.6832e+15     
0.205205       -8535.77       6.68492e+15    
0.206206       -8527.61       6.68656e+15    
0.207207       -8519.44       6.6881e+15     
0.208208       -8511.25       6.68955e+15    
0.209209       -8503.06       6.69091e+15    
0.21021        -8494.86       6.69217e+15    
0.211211       -8486.64       6.69335e+15    
0.212212       -8478.41       6.69443e+15    
0.213213       -8470.18       6.69542e+15    
0.214214       -8461.93       6.69631e+15    
0.215215       -8453.67       6.69711e+15    
0.216216       -8445.4        6.69781e+15    
0.217217       -8437.12       6.69842e+15    
0.218218       -8428.83       6.69893e+15    
0.219219       -8420.53       6.69935e+15    
0.22022        -8412.22       6.69967e+15    
0.221221       -8403.89       6.6999e+15     
0.222222       -8395.56       6.70002e+15    
0.223223       -8387.21       6.70005e+15    
0.224224       -8378.86       6.69999e+15    
0.225225       -8370.49       6.69982e+15    
0.226226       -8362.11       6.69956e+15    
0.227227       -8353.72       6.6992e+15     
0.228228       -8345.32       6.69873e+15    
0.229229       -8336.91       6.69817e+15    
0.23023        -8328.49       6.69751e+15    
0.231231       -8320.05       6.69675e+15    
0.232232       -8311.61       6.69589e+15    
0.233233       -8303.16       6.69493e+15    
0.234234       -8294.69       6.69387e+15    
0.235235       -8286.21       6.6927e+15     
0.236236       -8277.73       6.69143e+15    
0.237237       -8269.23       6.69007e+15    
0.238238       -8260.72       6.68859e+15    
0.239239       -8252.2        6.68702e+15    
0.24024        -8243.67       6.68534e+15    
0.241241       -8235.13       6.68356e+15    
0.242242       -8226.57       6.68168e+15    
0.243243       -8218.01       6.67969e+15    
0.244244       -8209.43       6.6776e+15     
0.245245       -8200.85       6.6754e+15     
0.246246       -8192.25       6.6731e+15     
0.247247       -8183.64       6.67069e+15    
0.248248       -8175.02       6.66818e+15    
0.249249       -8166.39       6.66556e+15    
0.25025        -8157.75       6.66284e+15    
0.251251       -8149.1        6.66001e+15    
0.252252       -8140.44       6.65707e+15    
