E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
12.1098,0,0,0
13,0.13855,0.042791,0.050794
14,0.40368,0.16476,0.1855
15,0.69758,0.3534,0.38441
16,0.98642,0.5751,0.61359
17,1.2642,0.8149,0.85854
18,1.528,1.0625,1.1094
19,1.7763,1.3107,1.3594
20,2.0088,1.5546,1.6039
21,2.2258,1.7911,1.84
22,2.4278,2.0178,2.0657
23,2.6155,2.2336,2.2798
24,2.8003,2.4441,2.4888
25,2.9754,2.6468,2.6896
26,3.1391,2.8395,2.8799
27,3.292,3.022,3.0598
28,3.4346,3.1942,3.229
29,3.5753,3.3663,3.3977
30,3.7077,3.5301,3.5577
31,3.8319,3.6845,3.7082
32,3.9482,3.8297,3.8494
33,4.0572,3.9658,3.9816
34,4.1592,4.0933,4.1051
35,4.2547,4.2125,4.2203
36,4.3441,4.3238,4.3277
37,4.4277,4.4276,4.4276
38,4.5059,4.5243,4.5205
39,4.579,4.6142,4.6068
40,4.6473,4.6978,4.6868
41,4.7111,4.7754,4.7609
42,4.7707,4.8473,4.8295
43,4.8264,4.9138,4.8929
44,4.8782,4.9754,4.9514
45,4.9266,5.0322,5.0053
46,4.9717,5.0846,5.0549
47,5.0136,5.1327,5.1005
48,5.0526,5.1769,5.1423
49,5.0889,5.2175,5.1805
50,5.1225,5.2545,5.2155
52,5.1826,5.319,5.2762
54,5.2338,5.3718,5.3261
56,5.2773,5.4144,5.3664
58,5.3138,5.4479,5.3985
60,5.344,5.4735,5.4232
62,5.3687,5.4919,5.4416
64,5.3883,5.5041,5.4545
66,5.4035,5.5107,5.4626
68,5.4146,5.5124,5.4665
70,5.4221,5.5098,5.4669
72,5.4263,5.5034,5.464
74,5.4276,5.4935,5.4585
76,5.4262,5.4807,5.4507
78,5.4225,5.4652,5.4408
80,5.4166,5.4474,5.4292
82,5.4088,5.4276,5.4161
84,5.3992,5.4059,5.4017
86,5.388,5.3827,5.3862
88,5.3755,5.3581,5.3697
90,5.3616,5.3324,5.3525
92,5.3467,5.3055,5.3345
94,5.3306,5.2778,5.3159
96,5.3137,5.2493,5.2968
98,5.2959,5.2201,5.2772
100,5.2774,5.1904,5.2572
110,5.1763,5.0364,5.153
120,5.0659,4.8789,5.0441
130,4.9513,4.7227,4.9329
140,4.8355,4.5707,4.821
150,4.7205,4.4243,4.7096
160,4.6077,4.2844,4.5997
170,4.4978,4.1513,4.4921
180,4.3913,4.0248,4.3873
190,4.2884,3.9049,4.2856
200,4.1893,3.7913,4.1874
210,4.094,3.6837,4.0927
220,4.0024,3.5817,4.0015
230,3.9145,3.485,3.9139
240,3.83,3.3932,3.8296
250,3.7489,3.3061,3.7487
260,3.6711,3.2233,3.6709
270,3.5963,3.1446,3.5962
280,3.5245,3.0697,3.5244
290,3.4555,2.9986,3.4554
300,3.3891,2.9309,3.3891
310,3.3253,2.8663,3.3253
320,3.2638,2.8045,3.2638
330,3.2047,2.7455,3.2047
340,3.1477,2.689,3.1477
350,3.0927,2.6348,3.0927
360,3.0397,2.5829,3.0397
370,2.9885,2.5331,2.9885
380,2.9391,2.4853,2.9391
390,2.8914,2.4393,2.8914
400,2.8453,2.3951,2.8453
410,2.8006,2.3525,2.8006
420,2.7575,2.3115,2.7575
430,2.7157,2.2719,2.7157
440,2.6752,2.2338,2.6752
450,2.6359,2.197,2.6359
460,2.5979,2.1614,2.5979
470,2.561,2.1271,2.561
480,2.5252,2.0939,2.5252
490,2.4904,2.0617,2.4904
500,2.4567,2.0306,2.4567
510,2.4239,2.0005,2.4239
520,2.392,1.9713,2.392
530,2.3609,1.943,2.3609
540,2.3308,1.9155,2.3308
550,2.3014,1.8889,2.3014
560,2.2728,1.863,2.2728
570,2.245,1.8379,2.245
580,2.2179,1.8134,2.2179
590,2.1914,1.7897,2.1914
600,2.1657,1.7666,2.1657
610,2.1405,1.7441,2.1405
620,2.116,1.7223,2.116
630,2.0921,1.701,2.0921
640,2.0687,1.6802,2.0687
650,2.0459,1.66,2.0459
660,2.0236,1.6403,2.0236
670,2.0019,1.6211,2.0019
680,1.9806,1.6024,1.9806
690,1.9598,1.5841,1.9598
700,1.9395,1.5662,1.9395
710,1.9196,1.5488,1.9196
720,1.9001,1.5318,1.9001
730,1.8811,1.5152,1.8811
740,1.8625,1.4989,1.8625
750,1.8442,1.4831,1.8442
760,1.8263,1.4675,1.8263
770,1.8088,1.4524,1.8088
780,1.7917,1.4375,1.7917
790,1.7749,1.423,1.7749
800,1.7584,1.4088,1.7584
810,1.7423,1.3948,1.7423
820,1.7265,1.3812,1.7265
830,1.7109,1.3678,1.7109
840,1.6957,1.3548,1.6957
850,1.6808,1.342,1.6808
860,1.6661,1.3294,1.6661
870,1.6517,1.3171,1.6517
880,1.6376,1.305,1.6376
890,1.6237,1.2932,1.6237
900,1.6101,1.2816,1.6101
910,1.5967,1.2702,1.5967
920,1.5836,1.259,1.5836
930,1.5707,1.248,1.5707
940,1.558,1.2373,1.558
950,1.5455,1.2267,1.5455
960,1.5332,1.2163,1.5332
970,1.5212,1.2061,1.5212
980,1.5093,1.1961,1.5093
990,1.4977,1.1862,1.4977
1000,1.4862,1.1766,1.4862
1100,1.3811,1.0884,1.3811
1200,1.2907,1.0131,1.2907
1300,1.2121,0.94821,1.2121
1400,1.1431,0.89153,1.1431
1500,1.082,0.84162,1.082
1600,1.0275,0.7973,1.0275
1700,0.9785,0.75768,0.9785
1800,0.93427,0.72202,0.93427
1900,0.89411,0.68976,0.89411
2000,0.85746,0.66042,0.85746
2100,0.82389,0.63361,0.82389
2200,0.793,0.60901,0.793
2300,0.76448,0.58637,0.76448
2400,0.73806,0.56544,0.73806
2500,0.71352,0.54603,0.71352
2600,0.69066,0.528,0.69066
2700,0.66931,0.51118,0.66931
2800,0.64932,0.49546,0.64932
2900,0.63055,0.48073,0.63055
3000,0.61291,0.46691,0.61291
3100,0.59629,0.4539,0.59629
3200,0.5806,0.44164,0.5806
3300,0.56576,0.43006,0.56576
3400,0.55171,0.41911,0.55171
3500,0.53838,0.40873,0.53838
3600,0.52572,0.39889,0.52572
3700,0.51367,0.38953,0.51367
3800,0.5022,0.38063,0.5022
3900,0.49126,0.37215,0.49126
4000,0.48082,0.36406,0.48082
4100,0.47083,0.35634,0.47083
4200,0.46128,0.34895,0.46128
4300,0.45213,0.34188,0.45213
4400,0.44336,0.33511,0.44336
4500,0.43494,0.32862,0.43494
