E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
10.5533,0,0,0
11,0.05474,0.005144,0.0082655
12,0.18326,0.047308,0.056253
13,0.31229,0.11868,0.13199
14,0.50555,0.27587,0.29237
15,0.70267,0.45845,0.47679
16,0.93352,0.67831,0.69833
17,1.1908,0.9316,0.95284
18,1.4463,1.1997,1.2208
19,1.6893,1.4683,1.4881
20,1.9263,1.7418,1.759
21,2.165,2.0296,2.0427
22,2.3903,2.3083,2.3166
23,2.6018,2.5752,2.5781
24,2.8,2.829,2.8258
25,2.9853,3.0689,3.0593
26,3.1589,3.2957,3.2792
27,3.3308,3.5242,3.5
28,3.492,3.7401,3.7077
29,3.6431,3.9429,3.9021
30,3.7844,4.1328,4.0834
31,3.9166,4.3103,4.2521
32,4.0403,4.4757,4.4088
33,4.1558,4.6298,4.554
34,4.2637,4.7731,4.6883
35,4.3644,4.9062,4.8124
36,4.4584,5.0297,4.9268
37,4.5462,5.144,5.0321
38,4.628,5.2499,5.129
39,4.7044,5.3477,5.2178
40,4.7755,5.438,5.2991
41,4.8418,5.5213,5.3733
42,4.9035,5.5979,5.4411
43,4.9609,5.6684,5.5026
44,5.0143,5.733,5.5585
45,5.064,5.7922,5.6089
46,5.1101,5.8464,5.6544
47,5.1528,5.8957,5.6952
48,5.1925,5.9406,5.7316
49,5.2292,5.9814,5.764
50,5.2631,6.0182,5.7925
52,5.3232,6.0811,5.8393
54,5.3741,6.1311,5.8737
56,5.4168,6.1698,5.8975
58,5.4521,6.1986,5.9122
60,5.4809,6.2188,5.9189
62,5.5038,6.2313,5.9189
64,5.5216,6.237,5.9131
66,5.5347,6.237,5.9024
68,5.5436,6.2317,5.8876
70,5.5488,6.2219,5.8694
72,5.5506,6.2081,5.8483
74,5.5495,6.1908,5.8249
76,5.5456,6.1705,5.7996
78,5.5394,6.1475,5.7727
80,5.531,6.1222,5.7447
82,5.5206,6.0949,5.7159
84,5.5085,6.0658,5.6863
86,5.4948,6.0352,5.6563
88,5.4798,6.0032,5.626
90,5.4634,5.9702,5.5956
92,5.446,5.9362,5.565
94,5.4276,5.9014,5.5346
96,5.4082,5.8659,5.5042
98,5.3881,5.8299,5.474
100,5.3673,5.7934,5.444
110,5.2551,5.6071,5.2975
120,5.1348,5.4201,5.1572
130,5.0112,5.237,5.0226
140,4.8874,5.0606,4.8929
150,4.7653,4.8919,4.7679
160,4.6462,4.7317,4.6472
170,4.5306,4.5799,4.531
180,4.4191,4.4363,4.4192
190,4.3117,4.3006,4.3117
200,4.2086,4.1725,4.2085
210,4.1097,4.0514,4.1096
220,4.0148,3.9369,4.0148
230,3.924,3.8285,3.9239
240,3.8369,3.7259,3.8369
250,3.7535,3.6287,3.7534
260,3.6735,3.5364,3.6735
270,3.5968,3.4488,3.5968
280,3.5232,3.3655,3.5232
290,3.4526,3.2864,3.4526
300,3.3848,3.2111,3.3848
310,3.3197,3.1392,3.3197
320,3.2571,3.0706,3.2571
330,3.1968,3.0051,3.1968
340,3.1388,2.9424,3.1388
350,3.083,2.8824,3.083
360,3.0291,2.8249,3.0291
370,2.9772,2.7698,2.9772
380,2.9272,2.7168,2.9272
390,2.8788,2.666,2.8788
400,2.8321,2.6171,2.8321
410,2.787,2.5701,2.787
420,2.7433,2.5248,2.7433
430,2.7011,2.4812,2.7011
440,2.6602,2.4391,2.6602
450,2.6206,2.3985,2.6206
460,2.5823,2.3594,2.5823
470,2.5451,2.3215,2.5451
480,2.509,2.2849,2.509
490,2.474,2.2496,2.474
500,2.44,2.2153,2.44
510,2.407,2.1822,2.407
520,2.3749,2.1501,2.3749
530,2.3437,2.1189,2.3437
540,2.3134,2.0887,2.3134
550,2.2839,2.0595,2.2839
560,2.2552,2.031,2.2552
570,2.2273,2.0034,2.2273
580,2.2001,1.9766,2.2001
590,2.1735,1.9506,2.1735
600,2.1477,1.9252,2.1477
610,2.1225,1.9006,2.1225
620,2.0979,1.8766,2.0979
630,2.074,1.8532,2.074
640,2.0506,1.8305,2.0506
