E_BEB(eV),Q_BEB(A^2),Q_DM(A^2),Q_combined(A^2)
9.2399,0,0,0
10,0.083968,0.033668,0.035456
11,0.20052,0.10482,0.1084
12,0.40234,0.24396,0.25021
13,0.75642,0.50864,0.51893
14,1.1841,0.86062,0.87477
15,1.6842,1.3,1.3177
16,2.2144,1.7919,1.8124
17,2.7607,2.3248,2.347
18,3.305,2.8798,2.9027
19,3.8481,3.4487,3.4713
20,4.3859,4.0351,4.056
21,4.895,4.6074,4.6254
22,5.3812,5.1659,5.1801
23,5.8657,5.7355,5.7445
24,6.323,6.2813,6.2844
25,6.7535,6.8,6.7964
26,7.158,7.2902,7.2796
27,7.5377,7.7519,7.7337
28,7.8938,8.1853,8.1594
29,8.2364,8.6023,8.5681
30,8.5581,8.9939,8.9511
31,8.86,9.3602,9.3087
32,9.1432,9.7024,9.642
33,9.4088,10.0214,9.952
34,9.6577,10.3184,10.2398
35,9.8947,10.6011,10.513
36,10.1176,10.8656,10.7678
37,10.3268,11.1117,11.0041
38,10.523,11.3402,11.2229
39,10.707,11.5522,11.4251
40,10.8796,11.7486,11.6118
41,11.0413,11.9302,11.7838
42,11.1928,12.098,11.9421
43,11.3347,12.2528,12.0874
44,11.4676,12.3954,12.2207
45,11.5919,12.5265,12.3427
46,11.7082,12.6468,12.454
47,11.8169,12.757,12.5555
48,11.9184,12.8577,12.6476
49,12.0132,12.9494,12.7311
50,12.1016,13.0328,12.8065
52,12.2606,13.1765,12.9352
54,12.398,13.2925,13.0376
56,12.5162,13.384,13.1171
58,12.617,13.4541,13.177
60,12.7023,13.5052,13.2198
62,12.7737,13.5396,13.2481
64,12.8325,13.5592,13.2639
66,12.8801,13.5659,13.2691
68,12.9175,13.5611,13.2653
70,12.9457,13.5462,13.2541
72,12.9656,13.5225,13.2365
74,12.9781,13.4909,13.2137
76,12.9837,13.4524,13.1866
78,12.9833,13.4079,13.1559
80,12.9774,13.3581,13.1223
82,12.9664,13.3037,13.0863
84,12.9509,13.2452,13.0483
86,12.9313,13.1832,13.0088
88,12.908,13.1182,12.9679
90,12.8813,13.0504,12.9259
92,12.8516,12.9805,12.8829
94,12.8192,12.9085,12.8391
96,12.7842,12.8349,12.7946
98,12.7471,12.76,12.7495
100,12.7079,12.6839,12.7037
110,12.4882,12.2927,12.4671
120,12.2419,11.8966,12.2192
130,11.9817,11.5065,11.963
140,11.7159,11.1288,11.7022
150,11.4498,10.7665,11.4404
160,11.1869,10.4212,11.1808
170,10.9295,10.0933,10.9256
180,10.679,9.7825,10.6765
190,10.4362,9.4883,10.4347
200,10.2015,9.2099,10.2006
210,9.9753,8.9464,9.9747
220,9.7573,8.697,9.757
230,9.5476,8.4607,9.5474
240,9.3458,8.2367,9.3457
250,9.1519,8.0242,9.1518
260,8.9653,7.8224,8.9653
270,8.786,7.6306,8.786
280,8.6135,7.4482,8.6134
290,8.4475,7.2751,8.4475
300,8.2877,7.1101,8.2877
310,8.1339,6.9526,8.1339
320,7.9857,6.8023,7.9857
330,7.8429,6.6585,7.8429
340,7.7052,6.521,7.7052
350,7.5724,6.3892,7.5724
360,7.4441,6.2629,7.4441
370,7.3203,6.1418,7.3203
380,7.2007,6.0254,7.2007
390,7.085,5.9136,7.085
400,6.9732,5.8061,6.9732
410,6.865,5.7026,6.865
420,6.7602,5.6029,6.7602
430,6.6588,5.5069,6.6588
440,6.5604,5.4142,6.5604
450,6.4651,5.3248,6.4651
460,6.3727,5.2385,6.3727
470,6.2829,5.155,6.2829
480,6.1959,5.0744,6.1959
490,6.1113,4.9964,6.1113
